"sampleID"	"MTOR"	"RPS6KA1"	"YBX1"	"JUN"	"RBM15"	"SHC1"	"AKT3"	"FN1"	"RAF1"	"CTNNB1"	"GSK3B"	"CCNB1"	"RAD50"	"BAK1"	"MAPK14"	"EGFR"	"SERPINE1"	"CAV1"	"EIF4EBP1"	"CCNE2"	"RPS6"	"GATA3"	"MAPK8"	"PTEN"	"CASP7"	"BAD"	"MRE11A"	"PGR"	"BIRC2"	"ATM"	"CHEK1"	"FOXM1"	"GAPDH"	"CDKN1B"	"ERBB3"	"BRCA2"	"RB1"	"AKT1"	"RAD51"	"RAB11A"	"MAP2K1"	"TSC2"	"MYH11"	"MAPK3"	"CDH1"	"CLDN7"	"TP53"	"ERBB2"	"RPS6KB1"	"CDH2"	"RAB11B"	"AKT2"	"GSK3A"	"XRCC1"	"AKT1S1"	"PCNA"	"BCL2L1"	"COL6A1"	"BID"	"ARAF"	"AR"
"TCGA-44-2657"	0.893590186565877	0.600014246711664	0.0539005754354454	0.0913694765239554	0.0739413361687878	0.0703807049391371	0.827120074939777	0.143396678323531	0.0487346185107511	0.0958567140693502	0.0500566390269877	0.934994722996132	0.0451759646174249	0.351268019775452	0.0656348481684811	0.182879249406457	0.0728065133754197	0.0937997691585958	0.0696272151560123	0.0949140722733739	0.0642553794444467	0.168893261183949	0.895195380183555	0.0147411909286875	0.0763477214461759	0.135618112654842	0.0714610146485808	0.275482065350282	0.0728527954382086	0.0176781150022777	0.0625259749911592	0.110814105506833	0.0890339692153077	0.0971852530415738	0.485526214949981	0.695596010708079	0.0552939681999145	0.128266069382484	0.0542878151638183	0.0719178565406713	0.0553684060393785	0.0754866662624295	0.0506167016330091	0.0845416360772684	0.41292345941167	0.102409543380812	0.0589327998029176	0.0981832563690982	0.0770586916424178	0.192916677854406	0.0831540889570581	0.0915171354166	0.0576572359412713	0.0662389484159367	0.754972444825714	0.0683105653213367	0.0926154138710083	0.0912070484283486	0.0632157564157099	0.255490645429855	0.593693841192535
"TCGA-64-1676"	0.918157093437554	0.62924020970009	0.0724108906296652	0.0840675643058842	0.0686672801977788	0.0694566874342483	0.91072185230965	0.14247156770494	0.0398957548994711	0.0786668047602406	0.0597928780943488	0.910173060684713	0.0501275627393816	0.440272861771051	0.0476867350760198	0.122392378258398	0.072157464218512	0.0816548457172629	0.0624762408799273	0.0830686933535763	0.0641223424721209	0.684590986712065	0.93327703920919	0.0215991866929065	0.0731133727209678	0.0792797611640262	0.0592689217012202	0.161898942799058	0.104225046350346	0.0161319558156397	0.0780958211865784	0.0727754328569255	0.10009715119729	0.0750780848093692	0.350896751201681	0.711405608411154	0.050739841180602	0.117042064187736	0.0510236505103264	0.0797436296281807	0.0634052587090336	0.0986429861178008	0.486794589111928	0.0711069831148124	0.349172159867587	0.0631177416812523	0.060996237920457	0.0631613535059771	0.0741112903376821	0.430622568867553	0.0735843873552517	0.0696352781216015	0.0572667126740813	0.0658229947598272	0.821894783652844	0.0697980521570821	0.0615255334879033	0.0954791272814047	0.0707785088800388	0.0936285933465832	0.71408272195894
"TCGA-44-3919"	0.887261668324845	0.660097217675958	0.0765426840624466	0.090268236616744	0.0803060932425073	0.0715441770558521	0.893153088840392	0.14989993745548	0.037144282335681	0.0865864660947875	0.0596477426362569	0.944447401880956	0.0520272543997767	0.263672665798206	0.0699548891527743	0.127260647636735	0.0736679129039201	0.110287805175939	0.0705801534678482	0.0954027995444854	0.0613091359512268	0.697010857335923	0.868938895806937	0.0208700678703142	0.0801503079696739	0.149195899971753	0.0744668445338104	0.176388786588319	0.110240412884577	0.031424805069152	0.070443658096232	0.0840792772350305	0.0917241326518598	0.0771380942578805	0.341191627119743	0.800520891999943	0.0648555201570014	0.129205125848441	0.0746668392399077	0.0841977532043657	0.0591627037005967	0.0942905256724815	0.0975537044564301	0.0797136347417944	0.335274377100334	0.065662635670627	0.0647558240662194	0.0878369892702089	0.0715656775413211	0.181949736479953	0.0782712576810315	0.0944650334800861	0.050520746866729	0.0695057141451353	0.813059442376789	0.0726183980413164	0.0667521313028781	0.0780798243085349	0.0670049644464166	0.369073826178183	0.61745978107548
"TCGA-55-1592"	0.912993945437404	0.571269403072187	0.0685881552735801	0.0931342942641403	0.0742696022829572	0.0751070417164857	0.526322766856236	0.187150365745689	0.0423129180261771	0.0840153361438703	0.0521813481064648	0.912876915270621	0.0515434240997365	0.205329582498314	0.072977454726042	0.139380005029947	0.0955240824711273	0.108949000452045	0.0624639171619291	0.0913410000353255	0.0700508822661101	0.168538950648129	0.890217767826116	0.0189144901451119	0.0864008008055146	0.089337210564942	0.0550258557838771	0.109923616658131	0.0676879295374121	0.0122837675729849	0.0595280370154191	0.0761278012149782	0.0863168248816711	0.0840742773708346	0.248053430741142	0.510019489714946	0.0548527895696662	0.100412441652662	0.0601480027422978	0.0707898103785607	0.0632464440286014	0.0869522989302584	0.045930000858198	0.0630708206876838	0.212096390397137	0.0715154024846974	0.0692945690739073	0.0747688603843581	0.0674543577189215	0.142605061473174	0.0888948675694254	0.0702969506590869	0.0573060791088388	0.057070656071228	0.702125690382456	0.06407806703351	0.0544310836691964	0.096457425524931	0.0683905667745312	0.0945123836475888	0.314053147002028
"TCGA-38-4627"	0.92943221403102	0.741139160383116	0.0662302918309996	0.0873717017701213	0.0967670023336061	0.0687713180329508	0.899578123958796	0.104359933818109	0.054062063216721	0.0898373687532587	0.0574786522698352	0.936763620092803	0.0482593845906366	0.323591420050107	0.0528807440861927	0.128573421253317	0.0682974568617861	0.0846853947237593	0.0633835285782177	0.113824345129425	0.072155761114584	0.448104164415577	0.840701439960111	0.0139085750995255	0.0755519385914396	0.124595290612978	0.0682020486162775	0.132627206585268	0.0728122178225504	0.0137618125399433	0.0585833339643776	0.0897722923937517	0.0851058393946594	0.0783253963208569	0.337075025333435	0.659958243494648	0.0497910471862609	0.114412477522457	0.0541160957709319	0.0526804930981311	0.0609166789109015	0.0903406125464906	0.0353912962784506	0.0661468014307423	0.312035269119968	0.0864020427426203	0.0587036055246505	0.0833668011906689	0.0744867686134893	0.0945155056640528	0.0781979164641316	0.095398670437823	0.0552637170019287	0.0792478303717834	0.763712193217697	0.0571051259082625	0.0981122741222948	0.0909847327429419	0.0796814336260982	0.321805847650738	0.494322990264065
"TCGA-49-4507"	0.895034579088613	0.830233379500005	0.0536890823727518	0.0860987836287634	0.073311899314473	0.0666924368650531	0.890561558222635	0.0901610872098597	0.0339646815516802	0.0827564202617248	0.0506156103889725	0.950069211059772	0.0459394813776252	0.379993417154928	0.0661518429154956	0.131691044397748	0.0833905673516193	0.0784021215364301	0.0592490069555715	0.0821168898910522	0.0743398074706519	0.509263893822056	0.861363000902906	0.0100106804375735	0.0739785747850816	0.091315122181164	0.0598547424068428	0.136390184961639	0.0631770639830064	0.0140510888282063	0.0881157116948402	0.0851387153389097	0.0645512493006267	0.0909454455900527	0.350438420044226	0.708637543751706	0.0523104574259805	0.130212440572709	0.0526120312651032	0.0541753633974866	0.0498703107414028	0.080249474692001	0.0658605647491067	0.0745891163744349	0.311882194924131	0.0585262088909538	0.0530440542187902	0.0804661365713151	0.0628233624534484	0.0867110042576125	0.0811821797453215	0.0602211560345492	0.053544612925933	0.0716399680468199	0.84667451994423	0.0583675327249103	0.0827786472540318	0.0934484933411049	0.0595099845264035	0.290032905628513	0.58424918778395
"TCGA-05-4405"	0.91707167025174	0.634583179934442	0.0557454567939773	0.0925982633970483	0.0872840254059347	0.132436731979459	0.886315090587676	0.252062068334997	0.075298458195883	0.0712839637181514	0.082309168392968	0.913130691545549	0.0661378153080263	0.467389055397358	0.111912389803649	0.138157166540044	0.106734552227975	0.0927488896174663	0.0537619489846077	0.0894180992702718	0.0675443142200246	0.663639580311008	0.835171751778792	0.014492726878112	0.0673172488401296	0.0882998694784157	0.0639462261870294	0.31286044255464	0.0808434278446132	0.020779066198541	0.064019521263067	0.109127070344502	0.0790750661126263	0.10813034791571	0.310484498815861	0.555144498991697	0.057264935529335	0.10274257307759	0.0604005570550043	0.0796362678197589	0.0689554928363153	0.0735944964057628	0.466840031063187	0.0788333169241647	0.325364928290202	0.108377312303782	0.0593836160028962	0.0805478917433246	0.0858767339028208	0.385168350473175	0.100597785466233	0.0864703767497578	0.0530131098729225	0.0957149524443923	0.808020053485851	0.0627818968304906	0.0661388518942095	0.112259425031758	0.05720331725764	0.291635631759906	0.6340759923418
"TCGA-05-4430"	0.910022502596479	0.558694341412882	0.055363026649451	0.0829752394262762	0.0900774921364353	0.0706201429211604	0.817523585234096	0.150121413372932	0.0429116513596559	0.11911323212064	0.0541193444944752	0.935344631211273	0.0464822291267248	0.364207346289105	0.0672026759667469	0.118830138387923	0.0693796193029471	0.0863259519777458	0.0739979532652665	0.122112593458856	0.0698220409725567	0.455293241650039	0.910876652716024	0.00819117581172628	0.075908698460081	0.115852481944727	0.0662753459101355	0.129843472470464	0.0741153743940429	0.0188979216984549	0.0701757029532166	0.0781761646571224	0.0843540768290459	0.0845254801765187	0.315588712827125	0.661764063967321	0.0621711313186107	0.153820124960449	0.055395982799235	0.0581502268852237	0.0579766361595797	0.0869531920261735	0.309143385680323	0.0865676881126833	0.305256402383584	0.0652880494060382	0.0606301426124692	0.0896344653730854	0.0769215330214022	0.105336768381522	0.0802708317957853	0.117364200621471	0.0621758622307792	0.0826827077873702	0.688421301366083	0.0599693175854454	0.0905401353514554	0.111253931826594	0.0620202761816435	0.375388246874252	0.51967324654102
"TCGA-50-5072"	0.94015563457275	0.670837307096275	0.107104040466738	0.108170196405829	0.100473451654251	0.0853250386958427	0.870754435656043	0.100347383997402	0.0533111575784248	0.110436216558616	0.0754025473493036	0.917798800277563	0.0585541183158222	0.247604392322867	0.0778365845606451	0.209885779997797	0.326502412975782	0.0847769541155126	0.0928770007535095	0.102406103572925	0.0885923663100617	0.150499087624786	0.817579377030221	0.0221879535803822	0.0709128148390956	0.130153582438775	0.0816706990859511	0.148821889333293	0.0964028859969753	0.0214330886073586	0.0951055362749322	0.084326021663054	0.117647855560106	0.104940746558207	0.3090886513778	0.758764405091917	0.0812018435101085	0.115893883716764	0.0938964739802566	0.0833981597361227	0.080124769570483	0.10521154406815	0.0569340887886068	0.105372775291998	0.286483731390589	0.0663764732813068	0.0757441499800833	0.098770078912069	0.0875745701284969	0.113869146684709	0.108285243869196	0.0979791924034235	0.0743566764402113	0.0663741810339473	0.739461004599934	0.0762309223121748	0.091148967601629	0.117339432722373	0.0801839768063276	0.0731071435164328	0.626384507846404
"TCGA-73-4658"	0.929814739887551	0.742298283190496	0.0805891637935679	0.123576529467962	0.0789426937390999	0.0666681277909107	0.877307192643378	0.154991988959638	0.0355495531661786	0.0852820489356939	0.0653719328037604	0.929960032755354	0.0690915773017147	0.399744752022009	0.076007414106311	0.134322278760309	0.0934437229284586	0.0924289345610069	0.0798714542844446	0.0736762236214512	0.111350065505739	0.534993115159347	0.937365626250716	0.00738116259416614	0.100105848181312	0.133266055370226	0.0858306061595469	0.160078660327604	0.0843778607603217	0.0126403017982979	0.0756364773534718	0.094595514052955	0.0719905804185391	0.114436475569763	0.37821349412132	0.7632657298574	0.0571399994894931	0.145380044257455	0.080278475092111	0.088422665633872	0.0605389302439903	0.101088493578889	0.389125058218653	0.128894116894304	0.35394001668618	0.0866251646963755	0.070903492290124	0.0963806436030948	0.082829992565148	0.355202278422004	0.102925699224881	0.0976389498087005	0.0757461625792559	0.0844609738658389	0.786445253278214	0.0783381730682267	0.102354240640769	0.237884970918415	0.08806023340431	0.343539571205804	0.601929709802172
