"sampleID"	"BAK1"	"BAX"	"BID"	"BCL2L11"	"CASP7"	"BAD"	"BCL2"	"BCL2L1"	"BIRC2"	"CDK1"	"CCNB1"	"CCNE1"	"CCNE2"	"CDKN1B"	"PCNA"	"FOXM1"	"TP53BP1"	"ATM"	"BRCA2"	"CHEK1"	"CHEK2"	"XRCC5"	"MRE11A"	"TP53"	"RAD50"	"RAD51"	"XRCC1"	"FN1"	"CDH2"	"COL6A1"	"CLDN7"	"CDH1"	"CTNNB1"	"SERPINE1"	"ESR1"	"PGR"	"AR"	"INPP4B"	"GATA3"	"AKT1"	"AKT2"	"AKT3"	"GSK3A"	"GSK3B"	"AKT1S1"	"TSC2"	"PTEN"	"ARAF"	"JUN"	"RAF1"	"MAPK8"	"MAPK1"	"MAPK3"	"MAP2K1"	"MAPK14"	"RPS6KA1"	"YBX1"	"EGFR"	"ERBB2"	"ERBB3"	"SHC1"	"SRC"	"EIF4EBP1"	"RPS6KB1"	"MTOR"	"RPS6"	"RB1"	"CAV1"	"MYH11"	"RAB11A"	"RAB11B"	"GAPDH"	"RBM15"
"TCGA-AG-3583"	1567.56119603395	2008.32293736838	1328.96899170746	253.106704166006	1619.50658049657	929.347242347875	73.2469342675113	2800.89957117031	931.607060369557	2006.84925432121	2858.18686711441	415.754938514693	247.620767621288	1384.4288131521	1954.79962765585	777.116405550415	805.165078791218	452.975951333041	292.066704709482	560.484200032596	328.887035398641	9084.16886830862	419.635136304361	4722.80824777797	1598.56205724868	348.900360764152	583.235453596081	6033.48743462237	-7.81156185422277	1782.0800190737	10902.6561265454	12357.8973140228	13546.5565521073	573.945153342798	16.5075632579799	4.75032699662013	2.06617533046502	352.818331197202	16.3221912727697	2883.81073880674	1271.44206298111	91.1365721626749	1372.73021477407	1232.15697633215	606.432589449648	1592.55487811896	1538.13726762773	1837.80430777147	3814.77596604052	1559.50516426288	362.191367944948	1550.65465781037	3517.24771649949	1087.58897253622	1868.51372273998	1914.94293641921	17096.1582603286	357.304621909858	1717.02159418948	4412.50823807974	2152.8277572437	2441.56409566523	2845.78161458256	438.037716319215	579.519789049911	104419.578713151	1358.85836969652	587.789949265601	3104.94422180721	4091.75920359427	2096.09691861582	103912.092207026	167.4330369563
"TCGA-AG-3593"	812.248375004865	783.920453017895	1353.67506533194	417.16728230607	1243.87427722051	561.498447135191	176.541843515982	3875.64168099523	1177.57137083296	1771.0136248869	2340.08967778153	1528.66506203051	296.223989309342	1992.30761423192	2181.80087735513	1065.80733424168	1418.95227018583	529.101419866157	370.559346163866	754.145949279389	410.537913907503	10272.9504937911	730.866125306623	1948.83007358156	2076.4308394449	400.670440785575	713.050117986876	39004.9929311742	-3.51589332483337	4145.79143152128	3589.73242856859	14057.3818919606	22713.3950930277	396.472611517791	12.5256059473497	17.0329234678344	3.85897144134451	192.089428079197	29.5007704510456	2416.49801065487	1832.8709636927	137.172677915643	1233.86390379571	2170.70113785805	855.058983753747	2141.44225190686	1242.87595022694	1332.58832402384	7047.1475660118	2720.01604296052	284.800833836802	2557.97656184995	1496.57843491374	1007.19617861088	1920.27956248444	1741.6210494274	11672.3171687313	378.197818022446	3973.41772411331	5617.91573716569	2641.05546641261	3159.66691383323	717.967987370476	678.206606630861	1394.25321691324	39255.6332188578	1834.50281055463	992.173171970384	3896.28278177212	3014.64442165727	2041.3612444711	56369.6374322324	161.594366715107
"TCGA-AG-3584"	604.545387175245	2105.6573921964	1495.3491455787	951.886031350517	1248.5623538994	1337.94784954623	93.7875015289437	6076.41210272542	868.255090180939	1725.91848322413	2438.41157247638	246.365569718172	293.369243120725	1685.83439916075	3000.72711148785	2809.26936831946	407.873081357209	481.185487648503	197.087881311717	465.748354899333	351.382256917402	5928.89535134233	421.020030899382	2205.61336694377	1045.85941098458	196.659821959036	794.406063061468	12208.1221090319	26.5180997992148	5546.9187322751	7635.6991484794	11993.6945930332	5406.65876501603	552.222335140728	10.0730313528295	17.0717280426052	5.82367950806176	339.781965793363	91.7621131010809	6088.96551178066	2824.83909138386	164.238097996204	2088.58482946727	1069.81639859285	1223.59343526922	1687.67577004322	1173.08323693742	2320.04455878212	2060.01781946223	950.98284445882	240.960728498896	2793.59720081377	3141.96027965446	677.884372066258	901.815715195427	2080.39849239284	6826.7573708881	1244.51422286887	8638.39864729748	8068.34970602375	3264.15075228774	4303.59238221189	2269.26576882169	431.945104170523	835.398569647768	42358.3539058327	988.245687914283	812.555484149733	7809.53866283823	2118.31162439036	2832.37253097502	94745.490905969	155.109883041651
"TCGA-AG-3598"	1527.13835803739	741.302125551839	2829.86849458416	344.454093513485	1249.14655235314	1084.03599346785	91.6919129715071	3935.71126409116	1063.21836898654	1644.39431642518	2950.06330971481	449.316293033076	343.623378333632	1543.07720263171	7521.58394319036	1401.98654262742	900.262649289833	411.00565699271	177.960434879417	510.318891243933	372.952944838332	8964.89255752118	465.906532684843	2407.87272139557	1789.3000871888	423.947802228601	612.188956779704	12345.7108231642	3.77952286674269	2387.71776878411	5163.26642763289	12997.2176674283	16731.2813935359	468.386644428318	14.345121214474	2.8037170613426	2.57619983731924	249.799000417392	18.822855302491	1950.99209402557	2075.89217746896	76.3982977049	1806.01045270375	987.54584741313	1733.71962549474	1547.02044534478	562.506249361496	1267.34684817161	3246.61507964862	1611.49158525791	364.950549705721	2161.91491953963	2290.16574271938	1277.6549985184	2181.70246739391	3062.46930104363	18252.756037275	406.2548797818	4462.81234457724	4817.19123660411	2281.57060121358	2216.3418631831	2962.78819091879	598.102156349195	1028.77467635524	175002.860212062	1038.37126345839	561.769037452896	2666.30181515583	4337.6735056043	1856.49762357343	108048.930923954	179.909810638232
"TCGA-AG-3586"	891.46709833115	1965.79176037758	1457.70719613865	417.888391776961	1498.45938584472	209.435680586835	83.5519768886205	3653.78199993579	833.092446018901	1375.99217481688	2758.61813422639	-11.068147919922	284.433819317775	1395.40017594889	6340.19254301917	1171.08710544156	504.198749638438	426.549130548887	313.270040412445	550.779711015284	354.252610088256	7866.37404669164	418.51786016763	2726.54359483797	1551.37459358521	365.1545815155	610.739624844335	10288.3331864341	38.72166585223	3191.17033199012	4424.2920999614	19291.8405015111	15113.7259946371	477.205147221934	11.1015759934681	6.67175707449088	4.18718430055193	241.071467372528	35.2801733622627	3842.26005208851	2580.91641815213	120.156754868143	1611.26405865201	1579.99821298901	1160.52058433585	1491.20735660663	355.454071129643	1349.65115635656	4244.60179396534	1764.74871578175	261.239650488737	2813.20807180333	2784.09446683745	939.626736038449	2549.42362098981	3014.49226099349	13914.5073979117	385.467473979475	6570.43900039621	4787.33462927123	2219.96738868692	2528.19874549796	234.685671282275	630.173587745509	1134.91015350846	49474.3268121018	1698.33440534701	866.415545522261	3253.3651396614	4914.58958160859	2006.22932237533	91120.2165475878	152.632331920678
"TCGA-AG-3600"	1217.27550528243	2320.0325743355	1324.46425160131	606.653221219988	776.894431834316	799.580964361703	152.281031837238	1948.65828744822	709.834142712841	1659.92327362102	3951.63566186218	265.894493956616	202.644474985004	2068.54281177904	4374.60593861099	2324.57093111569	609.249324845105	358.145431498416	162.898224155433	576.530624568244	553.4350058355	10718.6624654514	505.873535068113	4245.70769154111	1516.71437359465	417.005796721019	711.719736629268	10325.5605015219	70.9244487337022	2562.38198160901	9303.0233480013	6132.60624859376	8123.14766170338	499.225214666015	7.55587810763673	9.87925699265263	-0.082628928162654	179.053566196563	28.4118728499361	2729.46144430551	1894.74228670368	115.252162472125	2075.04856716004	1030.70724068499	2418.6816849735	1688.69281714136	1121.59008027998	1953.86695570727	4525.45290778576	1874.56081497945	228.862574251508	2728.69788979966	1311.12536664772	1228.0403455454	1453.22990980379	2660.11555303046	22539.1184698652	484.724758813157	5368.22602058115	4951.39825846468	2778.23035583004	1948.27961740494	978.19376617967	518.971621675256	1196.04903850653	41605.4080263926	1185.48028408721	510.671052035377	3420.15135518128	2779.5802170964	2505.23785890909	112789.349479164	144.072964039434
"TCGA-AG-3574"	958.334962019731	1698.03337068958	1529.29552132615	377.308581495034	625.629572162608	637.192624345888	89.9490077146126	5947.4672297709	827.603924051357	1373.23841216833	1448.95285015048	286.300771052539	221.129205867648	1210.14486038381	1397.04533273132	675.535217557741	1003.08956349216	515.508199243658	103.958341608716	323.591842515787	458.489782697807	10962.9738930846	403.064852888061	2638.90713825103	906.728230409759	223.818757267161	696.238601676948	13194.9321103031	75.3282144087549	2353.64323147675	6837.75439141728	11915.0776632355	19681.4628114796	602.687827239662	2.08389806141578	19.6969868744289	1.61269329413552	189.148562129746	13.3440953562421	3014.37449268267	1280.79133398963	128.191620339074	1323.45495198422	1445.60904617719	520.820427192272	1598.84948097341	1659.75695207479	2937.48913397095	9064.21817251512	1661.35811265221	394.763922790648	2583.54144844181	2177.62112141722	1049.51905087587	2649.25820643502	2207.32448938884	13694.2782564914	333.419867560985	5468.49842083737	10216.0045758033	2002.34344167844	3281.84068516211	2879.9519517379	423.367271960465	863.503675451994	78880.5014795238	826.519597348492	587.405338194101	5711.79951541147	4007.01500566546	2499.42536426965	123041.037832445	132.895549077867
"TCGA-AG-3594"	2147.90233896136	837.374797527174	1051.27741408186	662.776994878217	2898.50048505587	190.082042060682	243.31861330914	1555.63601576072	652.68697330706	1582.97539053449	1886.33077791206	171.279270576773	229.84429092267	1287.06638610293	4293.79787668311	2902.91019972507	962.506896222556	547.07824192537	212.197121233111	252.08411673319	291.836065027592	6469.86444434162	293.243969185905	181.063053912621	1131.34414206215	506.1812796709	768.964131729738	8392.87374634016	7.65545910116713	3203.48354845006	6725.17652090114	12676.7271656984	7937.04141559145	462.444836546288	35.5363461753138	10.1505440864944	-0.082628928162654	229.479100080156	50.9612828640606	4247.19751144314	1760.65645283769	152.005356486004	1478.84732948755	1235.97136940417	1036.16210288278	2035.63045659771	1437.68253552759	1501.180227303	4221.09570588119	1548.5240305239	311.814390616269	2723.34414429928	2482.15694032053	1473.33170020317	1659.26413591632	2249.03881935388	10597.3260831031	517.874358764052	5145.91382410329	7866.57708224158	2026.96266067739	2346.59515461469	3742.29451655676	548.219673893847	1657.00170535437	54626.6287566101	496.940499156107	520.071176885779	2551.83339586431	3816.63555482061	2029.3089328977	92693.7650566012	155.544596462581
"TCGA-AG-3601"	1466.07854629287	1619.91410722134	3041.83664021593	306.224573970644	1111.15899349145	1228.19448738542	77.8985819679868	4011.36700937277	840.116106938318	1480.76409834572	1737.42594592102	470.023133987703	272.00730178455	2924.62677349884	3825.10416392412	1051.15948213662	1232.68512401127	435.083897320922	178.968886628236	343.529546045925	709.9350119683	7855.24239274054	435.982026346578	2886.07912695015	932.410403372783	408.700845104209	802.476448048692	21046.7613703113	75.6342475946537	4077.44326742905	5855.09280792197	12468.0689928208	12406.0809249161	921.160046030732	7.60867233300407	9.91788910264662	-0.082628928162654	120.778942362207	17.1627869668639	2432.33689611835	2046.19409651933	151.512543118531	1997.07929176335	1269.75034619128	1827.29101493105	2036.99634033361	1192.37496173272	1880.42452913898	4818.36693808829	1468.24874547552	305.911321346196	4113.13519903335	2869.32852215074	1344.06354741275	1597.46963231935	2857.87928146181	14475.1851036778	450.021412450825	5595.8474872501	4999.88552542583	2245.02690948868	2908.17489004639	798.170900893563	645.641601745598	594.125766883228	52652.4049861751	1698.01909593323	644.565955007461	3812.63011494588	3833.68627916692	2099.78114490866	74919.0097427155	74.9303345439975
"TCGA-AG-3725"	1674.91911607079	1016.48000178103	1169.82211931505	258.437672079882	1614.84658116127	687.188633022211	59.6027681326831	2895.35308304219	873.672302949203	964.765691794453	1229.4278631304	182.978498293528	156.199723528773	1362.80239388486	3538.82580826789	985.241379383753	741.890023891623	407.751526331037	203.781731859012	327.935686082843	269.619277024089	5335.25862473029	388.543494250617	2649.59398616861	1332.97902894067	219.708238088895	578.508082766168	-995.08761095523	5.4186971775738	982.078715503492	9190.05133041899	9608.40960909973	10453.0429092259	-72.7665051657602	1.5497228486917	2.32047200260198	3.03651997309798	205.493704923008	14.5915551481615	4617.21930193647	2282.40472696734	34.570796118782	1807.5985210626	1211.75869903404	1152.25496104496	2584.25165813524	1002.93862526106	1515.62997631475	4372.9221785062	1837.29699470708	260.600514187928	1643.86678041548	6529.23287862748	595.655651998057	1834.99293121305	3600.0679525842	9839.84600348334	718.815612924314	5522.53991929734	9364.9798884239	2583.19195588425	3005.16920630014	877.103758557276	547.645374163405	1275.86576055008	90671.1740658661	1732.71024233603	324.567958704358	387.888254669541	3441.33662368472	1814.05888125146	76106.3518282757	149.661636137467
