"sampleID"	"BAK"	"BAX"	"BID"	"BIM"	"CASPASE7CLEAVEDD198"	"BADPS112"	"BCL2"	"BCLXL"	"CIAP"	"CDK1"	"CYCLINB1"	"CYCLINE1"	"CYCLINE2"	"P27PT157"	"P27PT198"	"PCNA"	"FOXM1"	"X53BP1"	"ATM"	"BRCA2"	"CHK1PS345"	"CHK2PT68"	"KU80"	"MRE11"	"P53"	"RAD50"	"RAD51"	"XRCC1"	"FIBRONECTIN"	"NCADHERIN"	"COLLAGENVI"	"CLAUDIN7"	"ECADHERIN"	"BETACATENIN"	"PAI1"	"ERALPHA"	"ERALPHAPS118"	"PR"	"AR"	"INPP4B"	"GATA3"	"AKTPS473"	"AKTPT308"	"GSK3ALPHABETAPS21S9"	"GSK3PS9"	"PRAS40PT246"	"TUBERINPT1462"	"PTEN"	"ARAFPS299"	"CJUNPS73"	"CRAFPS338"	"JNKPT183Y185"	"MAPKPT202Y204"	"MEK1PS217S221"	"P38PT180Y182"	"P90RSKPT359S363"	"YB1PS102"	"EGFRPY1068"	"EGFRPY1173"	"HER2PY1248"	"HER3PY1298"	"SHCPY317"	"SRCPY416"	"SRCPY527"	"X4EBP1PS65"	"X4EBP1PT37T46"	"X4EBP1PT70"	"P70S6KPT389"	"MTORPS2448"	"S6PS235S236"	"S6PS240S244"	"RBPS807S811"	"CAVEOLIN1"	"MYH11"	"RAB11"	"GAPDH"	"RBM15"
"TCGA-B5-A11W"	0.73051	0.96284	0.16472	0.0010162	-0.55625	-0.052161	-0.56618	0.44226	-0.50481	-0.13226	-0.44091	-0.33643	0.49605	0.039094	0.15127	0.023418	-0.67477	0.91331	-0.92313	0.11398	0.15581	-0.063825	-0.0005258	-0.067037	-0.63911	0.42705	0.42407	-0.13005	1.1708	0.49083	-0.036037	0.27436	0.51288	1.5738	-0.65033	2.321	1.083	0.49612	0.48996	0.54553	-0.014007	0.56314	0.77037	0.051958	-0.29447	-0.19804	-0.2571	-1.0884	-0.10749	-0.3198	0.019918	-0.32195	0.46105	-0.28103	-1.2928	0.44134	0.46271	-0.14605	0.21801	-0.14599	0.067211	-0.39183	0.0019902	-0.80705	0.27207	-0.26969	0.17729	-0.3179	-0.42151	0.26318	0.36043	0.16399	0.23959	0.44717	0.0098721	1.5109	-0.24081
"TCGA-B5-A11V"	0.050848	0.97086	0.17795	0.15072	0.58532	-0.24232	0.50504	0.57131	-0.27916	-0.26845	-0.62806	0.14782	-0.00081309	0.098177	0.050813	0.05567	-0.52826	0.73441	0.4	0.19693	-0.031235	-0.13518	0.17112	-0.010056	-0.46467	0.6815	-0.12106	0.061691	-0.40144	0.76477	-0.36295	0.77321	0.31567	0.52042	-0.55116	2.23	0.40526	0.3015	0.0719	0.35135	-0.028834	0.13118	0.61906	-0.17887	-0.12009	-0.17169	-0.18978	0.38756	-0.027558	-0.40102	-0.022817	-0.36292	-0.47704	-0.30142	-0.5976	-0.15175	-0.20256	-0.20938	-0.06663	-0.13262	-0.081516	-0.054452	-0.16405	-0.651	-0.050386	-0.99087	-0.090721	-0.17999	-0.37162	-1.0288	-0.902	-0.44851	-0.21991	1.1486	0.062629	0.98956	0.11138
"TCGA-B5-A11U"	0.65944	0.10635	-5.0444e-05	0.53776	1.2601	-0.2533	1.4296	0.072523	-0.4208	-0.36142	0.5582	0.16975	0.31899	0.05513	0.28871	0.37213	-0.012643	0.45206	-0.42682	0.39917	-0.092545	0.20616	0.089619	0.057309	-0.32624	-0.40113	0.020306	-0.34856	0.38323	0.25069	0.13711	0.19582	-0.20044	0.88974	-0.15668	1.698	0.45665	0.25341	-0.32303	0.034636	-0.44593	-0.27701	-0.088083	-0.47832	-0.35904	-0.13411	-0.083503	-0.21395	0.090932	0.0059212	0.0074261	0.17702	-0.038821	-0.38972	-0.9382	0.0064338	-0.155	0.11054	0.21392	-0.12865	0.12227	-0.040347	-0.14879	-0.70588	-0.050234	-0.74565	0.15873	-0.11118	-0.21727	-0.27198	-0.040198	-0.35757	0.30002	0.40194	0.18543	-1.2116	0.082294
"TCGA-B5-A11I"	-0.65732	0.47527	0.0017042	0.84176	1.3713	-0.63974	-0.08052	-0.033268	0.2513	0.069031	1.517	1.5072	-0.5339	-0.015716	-0.38643	0.47465	-0.27161	-1.4841	0.75196	0.8993	-0.086856	0.06661	-0.96459	0.237	-0.067881	0.44358	0.070644	0.46589	-0.042817	-0.35053	-0.019442	-0.018191	-1.613	-1.7993	-0.19598	0.42731	-0.74947	-0.0842	0.43872	-0.54849	-0.48516	-1.0819	-1.1059	-0.99049	-1.086	-0.63015	-0.30095	0.17751	0.2036	-0.26171	0.0054991	0.17231	-0.55279	0.14322	0.23216	-0.25572	-0.34344	-0.22226	-0.084346	-0.43434	-0.056647	0.16533	0.080177	-0.97571	-0.43852	-1.3175	-0.13414	-0.004789	-0.045487	-0.93312	-1.0143	-0.99442	-0.71329	-1.1993	-0.10278	0.84415	-0.76924
"TCGA-B5-A11S"	0.19458	0.022989	0.031172	-0.059961	2.1142	-0.073049	-0.35216	-0.17432	0.090182	-0.49267	-0.35396	-0.043247	0.10868	0.085372	0.046988	-0.2127	-0.21366	0.74041	0.48179	0.30386	0.0041514	0.22343	0.21953	0.12025	-0.42924	-0.037938	-0.29318	0.0495	-0.41909	-0.26731	-0.50425	1.2625	0.45283	0.96986	-0.56199	2.7634	0.78451	0.99535	1.3329	-0.28008	-0.57493	1.3433	1.072	0.12115	0.20298	0.11224	0.22211	-0.4165	-0.10272	0.32195	-0.060261	0.74953	-0.16678	-0.018315	0.8123	-0.23956	-0.36491	0.45813	-0.016651	0.12469	0.13183	0.36639	-0.1903	-0.016489	0.019472	0.15052	-0.28372	0.56306	-0.13288	-0.20806	-0.39332	0.26525	0.31328	-0.88126	-0.00065811	-1.293	0.14008
"TCGA-B5-A11F"	0.28404	0.3071	-0.011986	-0.1665	0.26114	0.1314	0.38085	0.0081904	0.25601	-0.032942	-0.22243	0.34307	0.13656	-0.18482	0.04282	-0.22067	-0.35445	1.0237	0.52659	0.070025	0.34511	-0.039594	0.66028	-0.18024	-0.30139	0.038302	-0.23682	0.073132	-0.68075	0.30071	-0.51882	2.0473	0.84043	0.2755	-0.042471	2.4785	1.1912	1.0554	0.76913	-0.6271	-0.27484	2.3151	2.0534	0.98725	0.43161	0.40058	0.40259	-0.76069	-0.14956	0.47973	0.051779	-0.10105	0.82631	0.77947	1.2001	0.022838	-0.045065	0.35127	0	-0.10944	0.23078	0.077247	0.56858	0.13807	-0.53347	-0.27463	0.099766	-0.30901	0.24149	0.15021	0.36516	0.55465	-0.51665	1.3522	-0.40379	0.39838	0.30539
"TCGA-B5-A11G"	0.68571	0.75372	0.50203	-0.3512	1.5041	0.25769	0.49956	0.21444	0.054569	-0.0043556	0.15242	0.98016	0.13561	0.17226	0.32922	0.025421	-0.073622	0.38959	-1.8629	-0.14351	0.40014	-0.29689	0.17175	-0.0023971	-0.19498	-0.031382	0.51523	0.058297	0.75376	0.58161	-0.34639	-0.26938	0.6316	1.0249	-0.0033953	2.4264	1.114	0.38174	-0.19255	-0.70753	1.5338	1.6331	1.918	0.76823	0.46015	0.24266	0.061196	-0.87713	-0.0096493	-0.16667	0.15223	-0.22583	-0.78834	-0.3092	0.33415	0.012264	0.14506	-0.466	0.27069	-0.35437	0.18109	-0.17831	-0.29967	-0.5938	-0.13941	0.36334	0.41971	-0.17565	0.08358	-0.16606	0.24693	0.072542	-0.98841	-0.24445	-0.11737	0.17697	0.66179
"TCGA-B5-A11Q"	0.66944	0.19058	0.01314	-0.29892	-0.93374	-0.48593	-0.78407	0.28693	-0.3011	0.028688	0.025142	-0.78328	0.27929	0.082793	0.21556	0.058465	-0.38726	0.89861	-0.68868	0.19973	0.0042781	-0.13491	0.61855	-0.010168	-0.29323	-0.093865	-0.011959	0.1539	-0.51657	0.33224	-0.17247	0.40697	0.39268	1.1762	-0.24607	2.9453	1.3109	1.4434	0.70558	-0.36795	1.3591	1.0164	0.81229	-0.21248	-0.43659	-0.088499	-0.2428	-1.6202	-0.014734	-0.17095	0.026301	-0.24626	-0.43462	-0.58901	-0.86788	-0.022995	-0.19163	0.24247	0.11707	0.031145	0.16741	0.10981	-0.13017	-1.0165	0.079002	-0.96945	0.035635	-0.22307	-0.48663	-1.0564	-1.1721	-0.24562	-0.48695	0.18508	0.24247	1.0515	0.27177
"TCGA-B5-A11H"	0.19219	-0.12772	0.0024527	0.15613	1.4696	0.12743	-0.66755	0.12557	-0.19117	-0.21013	0.26035	1.5919	0.12038	-0.11237	0.4642	0.10026	-0.31179	0.41321	-0.8893	-0.1782	0.35438	-0.16698	0.23154	-0.24208	-0.44854	-1.1593	0.076901	0.21643	-0.32819	0.10361	-0.2238	0.072872	0.61366	1.5019	-0.093044	2.2745	0.5851	-0.16463	1.0222	-0.56656	0.029224	1.6492	1.5186	0.42251	0.26705	0.251	0.040117	-0.43968	-0.078593	0.20663	-0.056756	0.72647	-1.0295	0.15882	0.72255	-0.37343	-0.11216	-0.23654	0.021314	0.35691	-0.021982	-0.15144	0.063296	-0.79692	-0.39065	0.16135	0.076096	-0.091192	-0.28929	1.1036	1.5225	0.030048	0.0088244	-0.80831	-0.12435	1.3418	0.29158
"TCGA-B5-A11N"	0.31622	-0.38579	-0.14879	-0.15606	0.25709	-0.20828	-0.37316	0.52193	-0.16592	-0.25297	0.31447	-0.39352	0.15351	0.079461	0.17472	0.23608	-0.35207	0.35813	-1.0652	-0.15345	0.13831	0.24949	-0.30488	-0.020678	-0.28495	-0.33601	0.095469	-0.42626	-1.3038	0.11703	0.039943	1.4217	1.0407	1.8924	-0.44914	0.90426	0.11259	0.13795	-0.64774	0.1007	0.011503	0.38998	0.011825	-0.48352	-0.59444	-0.22676	-0.32276	-1.3281	0.16165	0.019344	-0.092329	-0.17348	0.46608	0	-1.0428	0.69732	0.22062	0.1038	0.0023204	-0.24191	-0.049354	0.25494	-0.18266	-1.0225	-0.24582	-0.68413	0.16232	0.089319	-0.23815	0.37733	0.17198	-0.42006	-0.8572	0.35906	0.068242	0.8253	-0.26238
"TCGA-BK-A13C"	0.56534	0.60096	-0.10219	0.14057	-0.80272	-0.038892	-0.15176	0.31592	-0.13962	-0.4439	-1.2525	-0.65601	0.26971	0.076205	0.042107	-0.18789	-0.56088	0.63479	-0.72154	-0.11083	0.3421	-0.19202	0.010783	-0.07951	-0.35182	0.40333	-0.20679	-0.49133	-0.66872	0.29838	-0.40243	1.9761	0.94683	1.3789	-1.0465	2.891	0.88063	1.8338	0.6647	-0.083925	-0.023612	0.41322	0.7011	0.053309	-0.26666	-0.034435	-0.036002	-1.5318	0.033559	-0.12943	-0.036694	-0.19929	0.21379	-0.25841	-0.86551	0.036293	-0.11245	0.19779	0.019546	0.0026022	-0.034816	0.16299	-0.11706	-1.0669	-0.12418	-0.68708	-0.0022321	-0.11079	-0.37377	-0.66443	-1.0306	-0.14809	0.11614	-0.037955	0.33101	0.56495	0.37211
"TCGA-BG-A18A"	0.68251	0.45063	0.1606	0.098016	-0.10199	0.050499	0.24435	0.62336	0.045503	-0.11386	-0.41175	0.023015	0.1895	0.04771	-0.048256	-0.33071	-0.54991	0.73801	-0.097086	-0.019256	0.28903	-0.32397	0.40464	-0.2584	-0.7396	1.1446	-0.2766	0.17925	-1.0443	0.31323	-0.39989	1.2332	0.67239	1.7613	-1.3258	3.4729	1.4105	1.1273	1.1768	1.0354	-0.094383	0.90175	0.47113	-0.39074	-0.39897	-0.050637	-0.24906	0.18162	-0.4156	0.11272	-0.15511	-0.1518	-1.1159	-0.63452	-0.19674	-0.16828	-0.016917	0.045465	0.19441	0.14968	-0.082787	-0.52019	0.093892	-0.57428	0.19103	-0.68056	-0.15166	-0.57653	-0.26089	-1.0682	-0.82057	-0.19447	0.80991	3.8334	0.12022	0.80645	0.87905
"TCGA-D1-A160"	0.59842	-0.18846	0.031249	-0.34569	-0.6915	0.20242	-0.99108	0.20457	-0.079637	-0.32955	0.14298	-0.51576	0.15837	0.094888	-0.085543	-0.24494	-0.076361	0.205	-0.63233	-0.13024	0.020767	-0.25169	0.16617	-0.24799	-0.45701	0.51787	-0.2383	-0.098157	-0.93411	0.23814	-0.55728	1.604	0.7794	1.5591	-1.0721	2.8203	1.4969	0.47555	-0.68823	0.44229	0.015304	2.0007	2.1204	0.83734	0.97477	0.4537	0.44019	-1.2322	0.033328	-0.052338	0.030152	-0.14199	1.546	0.96521	0.76373	0.79255	0.78337	0.22117	-0.036266	0.038498	-0.10891	0.13254	0.040852	0.10421	0.013244	-0.41083	-0.071784	-0.28628	-0.023948	1.4915	0.50544	0.48923	-0.83219	-0.01672	0.038665	1.4536	1.0883
"TCGA-D1-A161"	0.099612	0.12393	-0.059103	-0.42044	1.23	0.21396	0.185	0.14277	0.095261	-0.26973	-0.86433	-0.30514	-0.059439	0.042378	-0.15954	-0.2551	-0.61978	0.79833	-0.092644	0.12233	0.22147	-0.29499	0.34125	-0.13581	-0.61377	0.62735	-0.24875	-0.12136	-0.87688	0.0015789	-0.24266	0.42659	0.73598	1.2733	-1.0566	3.3187	0.51378	0.2833	1.1152	-0.2993	-0.10045	1.9672	1.4399	0.13434	0.32712	0.22968	-0.30452	-0.21572	-0.075753	0.10925	0.046423	0.48799	0.55936	0.17389	1.045	0.059357	-0.027579	-0.25436	-0.056994	-0.35543	-0.099894	0.19918	-0.44205	0.67732	0.35904	0.45698	-0.21856	-0.11801	0.35508	0.094028	-0.043331	0.053217	1.494	4.576	0.18627	0.31797	0.4049
"TCGA-D1-A15Z"	0.42016	0.047851	-0.12288	-0.23318	0.96382	0.31561	-0.017407	-0.21773	0.082338	0.090739	-0.17047	0.19248	0.21967	-0.047745	0.0037343	0.047438	0.0010265	1.0018	1.0985	0.25018	-0.015651	-0.058509	0.40598	-0.1264	-0.085593	-0.073369	-0.30311	0.074177	-0.69411	0.38075	-0.48523	0.30914	0.68111	0.082878	-0.24985	1.3874	0.077316	0.19973	-0.25473	-0.39551	-0.69289	0.76814	0.86497	0.70766	0.89041	0.45026	0.29138	-0.83338	-0.11669	0.15681	-0.10732	-0.1752	-0.4035	-0.22316	0.58487	-0.046675	-0.18706	-0.1123	0.18366	-0.285	0.21228	0.050433	0.054782	0.14362	-0.26562	-0.16458	0.0050184	-0.15537	0.041447	-0.65158	-0.55089	0.46695	-1.2705	-0.70185	-0.28702	-0.59409	0.46569
"TCGA-D1-A162"	0.14183	-0.81401	-0.21403	-0.1938	-1.0602	-0.11493	0.86402	-0.55169	-0.17055	0.12903	-1.5338	-0.23614	0.10279	-0.077239	0.02481	-0.54903	-0.60274	0.35244	-0.14824	-0.038715	0.24462	-0.17278	0.17907	0.039967	-0.35105	-0.10986	-0.43773	-0.18432	-0.51149	-0.40469	0.22803	-0.39434	-0.22042	-0.75077	-0.57243	3.5597	0.66746	0.95069	1.2315	0.10937	-0.62366	1.7863	1.4561	0.66616	0.49087	0.31125	0.96353	0.0078684	0.056047	0.21638	0.020077	0.39323	0.37414	-0.32432	0.72472	-0.34311	-0.36186	0.16619	0.059934	-0.015177	0.10505	0.03809	0.32386	1.4314	0.47977	-0.16926	-0.19858	-0.22656	0.39249	-0.96222	-0.84317	-0.48597	2.6518	6.0709	-0.21324	-0.87202	0.041428
"TCGA-D1-A163"	0.65044	0.058699	0.028003	-0.0099464	1.4593	-0.14077	-0.024247	0.0015307	0.151	-0.0099538	0.24874	0.46939	0.36139	0.12781	0.24604	0.13323	0.13128	-0.5817	-0.74	0.13177	-0.032515	-0.0067676	-0.38162	0.076489	-0.25381	0.039245	0.15515	0.15264	-0.34657	0.29892	-0.074377	1.283	1.0414	0.91653	-0.46642	2.1784	0.82964	-0.043281	-0.12026	-0.16347	-0.1375	0.81285	0.88507	0.061823	-0.15597	0.026138	0.06089	0.18015	0.023396	-0.45158	0.021753	-0.082021	0.89147	0.4388	0.66978	0.63556	0.44524	0.030428	-0.045571	-0.15281	0.01596	0.10061	0.057016	-0.40829	-0.044575	-0.93344	-0.030553	-0.25868	-0.20907	0.58635	-0.19796	-0.47381	1.0211	2.8949	0.21195	0.46468	0.12199
"TCGA-D1-A15V"	-0.46391	-0.54977	-0.15818	-0.37613	0.12517	0.087462	0.4943	-0.37797	-0.41029	0.014088	-0.53489	-0.10056	-0.40017	-0.039471	-0.078541	-0.1981	-0.52625	0.035922	0.35508	-0.07534	0.30506	0.25978	0.29484	0.12707	0.95076	-0.055314	-0.18059	0.022513	-0.34046	-0.18657	0.54719	-0.26503	-0.91595	-0.0042754	-0.50308	3.0524	0.39797	0.59542	1.6045	0.040931	-0.5769	-0.05182	-0.077258	0.27646	-0.12268	0.043275	0.41952	0.6469	0.2123	0.40296	0.12611	0.45451	0.62882	0.2188	0.83276	-0.00061698	-0.066879	0.082143	-0.15178	-0.070266	-0.029274	0.16983	0.11827	0.66431	0.62364	-0.40442	-0.15037	-0.058813	0.35564	-0.28599	-0.32111	-0.2202	2.4948	5.9315	-0.0097422	-1.4028	-0.22849
