"sampleID"	"MTOR"	"RPS6KA1"	"YBX1"	"JUN"	"RBM15"	"SHC1"	"AKT3"	"FN1"	"XRCC5"	"RAF1"	"CTNNB1"	"GSK3B"	"CCNB1"	"RAD50"	"BAK1"	"MAPK14"	"ESR1"	"EGFR"	"SERPINE1"	"CAV1"	"EIF4EBP1"	"CCNE2"	"RPS6"	"GATA3"	"MAPK8"	"PTEN"	"CASP7"	"BAD"	"MRE11A"	"PGR"	"BIRC2"	"ATM"	"CHEK1"	"FOXM1"	"GAPDH"	"CDKN1B"	"ERBB3"	"BRCA2"	"RB1"	"AKT1"	"RAD51"	"TP53BP1"	"RAB11A"	"MAP2K1"	"TSC2"	"MYH11"	"MAPK3"	"CDH1"	"CLDN7"	"TP53"	"ERBB2"	"RPS6KB1"	"CDH2"	"RAB11B"	"AKT2"	"GSK3A"	"XRCC1"	"AKT1S1"	"PCNA"	"BCL2L1"	"COL6A1"	"BID"	"ARAF"	"AR"
"TCGA-A6-2671"	0.949500857267368	0.676883984947869	0.0275087960316845	0.0552951348974824	0.0382474481126875	0.0347742522748826	0.935708388589987	0.0429327871915048	0.0418233868669056	0.0204182673756728	0.0220244742326307	0.026148605019101	0.959266117256557	0.026281408659823	0.131644363347767	0.0368199783453872	0.710367815297837	0.220173575027129	0.10715133941337	0.0268787581989007	0.0318085140659354	0.033195572965503	0.0349862329974665	0.0266232551400793	0.904175952366437	0.0115970722602977	0.0315547508530593	0.0518299836478199	0.0274645832914646	0.0304260554687026	0.0526378812401787	0.0187605207369193	0.0433701196842822	0.0551445299896947	0.0382992699918297	0.046993571625776	0.131948327690022	0.869222979608709	0.0261885908075391	0.0652597931490471	0.0366951718601561	0.0697344661837617	0.0357517287407176	0.0305400156348465	0.0427003377939734	0.0203839494707591	0.032080287143683	0.158428828349353	0.0205563899328805	0.0206005398853176	0.0509816262596322	0.0368740146983876	0.566550221139841	0.0443564286016283	0.0782601551452216	0.0345283242269884	0.0450652348366933	0.673592111627538	0.0343282076551601	0.03734083334055	0.0575683383167619	0.0365001172957536	0.0312081412788359	0.170692946939282
"TCGA-A6-2684"	0.941853452784882	0.631395829197168	0.0508296224879876	0.0569799096846174	0.0344125188202725	0.020964638279813	0.922726159380496	0.0565017573256952	0.043675859897264	0.0186211338950736	0.0372960785610358	0.0292954094568002	0.95938284647264	0.0287975270177466	0.113962132267861	0.0398152699576698	0.766036177221837	0.158988403676233	0.0436564191772837	0.0272522330877074	0.0300486731431401	0.0473997103472251	0.0306059442020959	0.494503386969931	0.908405660781528	0.0108674577048572	0.023360699078934	0.0521778142580276	0.0371187174672766	0.079979696510058	0.0652264931055143	0.017778253093895	0.0423044086270304	0.0496070675647133	0.0423127202229287	0.0592132358315094	0.192391749594717	0.888466931878998	0.0217039211151972	0.0713378451986	0.0278487774936401	0.0359476821507132	0.0384864208388017	0.0267358236522651	0.0320785817069443	0.179967348205991	0.040516458809394	0.21870614932744	0.0284645995919242	0.0225858257554619	0.0558030466777035	0.044739775334272	0.394200751340984	0.0584720659068009	0.0869162281975505	0.032307297869483	0.0453739365229429	0.800564867233047	0.0336551027969837	0.0582053436014865	0.097781905397141	0.0403928501061873	0.225659576055714	0.349475598744372
"TCGA-AA-3525"	0.951693180540161	0.590926496060647	0.0248758168123052	0.0598992399401548	0.0367623711321049	0.0343142576789753	0.949076842277603	0.807395391169361	0.0312635889659909	0.0184552144396425	0.037006586848279	0.0140543666334068	0.971757445633965	0.0219477355694678	0.120654812173143	0.0367352855445219	0.833167892205004	0.247978602434234	0.223084433479599	0.0398213368388306	0.0294108203978621	0.0430936847979515	0.0255068265221625	0.740529385769999	0.918766189037706	0.0104329804572073	0.0313068069873696	0.0391688851322092	0.0336059583531787	0.285047710748357	0.0379265266486096	0.0136060953876837	0.0382806389357103	0.0550867801172458	0.0358533873484725	0.0571485493937626	0.167645007641999	0.884262074862331	0.0299645697630426	0.097861132553597	0.0253281318158753	0.0326286671191138	0.0288065618551287	0.02289439846474	0.0277259876190728	0.573577000549907	0.0330742433772854	0.22584068239907	0.0235785356854253	0.0185026551725378	0.0471831309312767	0.0311682899559362	0.57585645949065	0.0529321439561141	0.065093129319967	0.0241970800272157	0.043159909572494	0.891206868864917	0.0331501486679142	0.0456507000275727	0.614983193829696	0.0320587659345711	0.0459714963207521	0.848024292681932
"TCGA-AA-3532"	0.922765913424882	0.582346498596714	0.0239539900827532	0.0642518687722638	0.0380252606482652	0.0354208860155956	0.906468021362445	0.0825894604274515	0.0280313007238973	0.0218407850906497	0.037406970818917	0.0125904100901777	0.966652711951701	0.021030743294239	0.191346467722061	0.0374997492240547	0.649590362678898	0.130560837725774	0.0720542427689106	0.0468709805633466	0.0305054921577041	0.0303258228302127	0.021625712722476	0.0763240952801649	0.93776159426134	0.0109524470022668	0.0301256664417017	0.0180521680354229	0.0333007404932656	0.0713577664456608	0.0382044638135824	0.0132854256698063	0.0239511468628122	0.0515459158430339	0.0362329070918135	0.049600609124137	0.32215336687353	0.85907759906739	0.0244094604800727	0.0741352750649972	0.0225564655672293	0.0297321097145226	0.0365960892823967	0.0227681033837622	0.0331175674178509	0.215741627480107	0.0308618588226852	0.305177992763684	0.0269764200174443	0.0250918891319558	0.0404743676012661	0.0340868253657055	0.266829060979725	0.06483959207289	0.0572726743937505	0.0257453625391531	0.0290271700298628	0.804134493174361	0.0183675883762699	0.0301401437157831	0.0353820249408987	0.0318970065605908	0.0441052290105525	0.317240465963647
"TCGA-AA-3510"	0.942569297483143	0.558196622253474	0.0270193674903269	0.0544408275004881	0.0342146134390148	0.0274629777339575	0.914475844138183	0.11050196391339	0.0340933976624985	0.0184110013086099	0.0261449890185881	0.0315543746612566	0.967463382117591	0.0240526478124325	0.117253349951833	0.0322557469806817	0.745116147902587	0.163133012142978	0.244085421455808	0.187967252102903	0.0328485129046766	0.0363383225767421	0.0252771861128455	0.186873797285214	0.925923864520663	0.0113874208981603	0.0330397894386641	0.0880047033448121	0.0243011450609104	0.0643033883611941	0.0561318401977437	0.0144340143528022	0.0403619952526062	0.0584703923245275	0.0607426602095458	0.0587774868866757	0.204161343902287	0.890080431656482	0.0233065402327241	0.070618905414334	0.025069634441712	0.0690618932564321	0.043035630843062	0.0254790174484508	0.0340894240107438	0.282998054745084	0.0529077342548651	0.188431312506058	0.0277628906230488	0.0364253042343015	0.0513453727996426	0.0372362333938333	0.35660854443196	0.0490073313290873	0.0862300695104283	0.0488503519408896	0.0393538991346609	0.903234442439729	0.0387361755426917	0.0604473546878126	0.0653587005117501	0.030281987562787	0.030923894394139	0.815610304589265
"TCGA-AA-3672"	0.966916058222461	0.369684402885233	0.0349140333397482	0.0703988595109249	0.0411985089287581	0.0403632091563315	0.939769114263376	0.420409826026399	0.0506039745173129	0.0230844595698307	0.0398014504772727	0.0320489982280652	0.950656244334564	0.02626320964074	0.175386041069043	0.0402581448505475	0.752134532391864	0.430409772719798	0.3553914184568	0.0429323748936842	0.0308408301838065	0.0690418346164662	0.0332195301673314	0.737064748896729	0.913873707545324	0.0108365990563602	0.0469155047612801	0.109858814061413	0.0397683376906717	0.108776894583782	0.0700941235549219	0.0165388470018419	0.0412590934149288	0.0594152084866403	0.054143528742506	0.0664749786624778	0.33182024314189	0.846748224337231	0.031473848802639	0.0949604265811157	0.0270656277135111	0.0392713695369298	0.0327978180031878	0.0363572648535128	0.06831777097321	0.544756909536367	0.0648068862960205	0.260074379864267	0.0409430922087896	0.0298883571338388	0.0614287610073421	0.0425804746774436	0.556206336227984	0.0646039166895282	0.0787892755318875	0.0274522399212207	0.0476365786043779	0.906723943097675	0.042398124320601	0.0819161072799887	0.0977544001882566	0.0392522633104764	0.368820369331477	0.842995037143492
"TCGA-AA-3712"	0.947046390521158	0.303491783908051	0.018001124713922	0.0549259496934333	0.032451418190694	0.0396091020874235	0.90239614461324	0.0324070064146825	0.0410303651386986	0.0235594005478686	0.0493378022915806	0.0241282651969934	0.971399200063909	0.024036019571504	0.102287188006144	0.0380463910978762	0.505710611363385	0.386029844502094	0.240309747903446	0.0439677265846915	0.0345616846525241	0.0502275773581214	0.0269046583813722	0.0141694062571403	0.913890878151485	0.00824480866160877	0.0284101538887252	0.0430303173384273	0.0280163652484204	0.0451697743080095	0.0286351909139366	0.0152318001452923	0.0338340138049428	0.04890260510516	0.033515697434142	0.0675201766510457	0.1452062530695	0.871445021094066	0.0201510452794283	0.090638744782139	0.0208128916319081	0.0264464562270398	0.0248722629041222	0.0252741412856436	0.0485442094109235	0.207972934095253	0.0304125667631301	0.151699472453124	0.0311872229901048	0.0276484370767295	0.0558160170131852	0.0324806714227643	0.078796236662141	0.0357804674284556	0.0459575292411686	0.0253038047153625	0.048538370079118	0.833304321638052	0.0276689756385509	0.0228849252099217	0.0366488135244198	0.034762970892138	0.0175889391925535	0.366867098129175
"TCGA-AA-A02Y"	0.965833160092864	0.681322627317534	0.0325303145969403	0.0682676327874239	0.0778930152035052	0.0319203444058176	0.874619785847319	0.100730908189188	0.0491899631051021	0.026997863163866	0.0486133109636451	0.0420042762189229	0.9728380790028	0.0389481754807331	0.154722289372759	0.0490812473551285	0.90078720651678	0.359191645562022	0.150530430837286	0.0396676183879263	0.0286277757876574	0.0781821151592445	0.047015745798272	0.599267129099903	0.878335884842393	0.0108756042801983	0.0394266375460654	0.0648457913411073	0.0422004768309463	0.331500173413277	0.0400317512630738	0.0166799272329003	0.0316296518598683	0.0549177155452111	0.0282178396730204	0.0720883209197591	0.164484350040944	0.926115708532595	0.025686946401243	0.0791107430236204	0.0297583198037079	0.0632541146334889	0.0392025894037878	0.0236507402858823	0.0399560046773337	0.619967903419002	0.0595130202559037	0.219560604079757	0.0396801900257667	0.0218737502932553	0.0605200288453754	0.0409514515094664	0.624044668706668	0.0540216057616084	0.110566011084022	0.0391501494363708	0.0623483081904438	0.667158870566134	0.0464242809281661	0.0678114293963179	0.0793757923345255	0.0521423775564132	0.0456761140614448	0.542247091655243
"TCGA-AA-A02O"	0.960309859629885	0.773715372834963	0.029348642457402	0.0647090787530461	0.0776278470541162	0.046771659099145	0.825627571265601	0.10066135401872	0.0559279882436156	0.0252277483826927	0.0522030737092975	0.0284368227845663	0.971991957027802	0.0371230261960856	0.120840504991084	0.0541713999955093	0.936601884016831	0.573373084020437	0.17124031908587	0.0513169515328799	0.0352425068080698	0.0525257260499825	0.0451782597936972	0.647476245987129	0.925223858822672	0.0118396832682228	0.0462203619500039	0.0727059297191706	0.073589899026833	0.124098257070002	0.0378188932493553	0.0175662532634538	0.0508276834237941	0.0485599864558182	0.0363241758424823	0.0563411976641169	0.157437325284612	0.922455731059574	0.0339617181794182	0.105506729860901	0.0412581194171823	0.0442359951146451	0.0433314548337607	0.0272881802810824	0.0651015196912823	0.59283210457582	0.0358908513308522	0.23274406602324	0.0304911290982545	0.0438159839428854	0.0899753562381487	0.0193336526288228	0.625470197372974	0.0593418527724944	0.0827108243632032	0.0393263351005828	0.0534221595704492	0.884092924557041	0.0344370110359288	0.0504206690760523	0.0851250670388265	0.034861507449725	0.0432730991910922	0.733812972275024
"TCGA-AA-A02H"	0.966058912623586	0.694327852419539	0.0356811390880631	0.0640168502020312	0.0551384715457143	0.0423811633839482	0.758999110592538	0.0891744074813821	0.0507969503167344	0.0284658740884852	0.0395356942475419	0.0583748778829918	0.971368833530155	0.0568645804926382	0.186205775819134	0.0373083434366147	0.898747941543966	0.283755535813347	0.088361580717749	0.0522598687044422	0.0355190113077989	0.0607242709691806	0.0467752426398321	0.720305224166214	0.925037585964531	0.0111907978556923	0.0417220018209746	0.0547021493892639	0.0740172454288714	0.0611341301982129	0.0386740757841492	0.0159397765931532	0.045678125926259	0.0511544278889917	0.0423384918675209	0.0465822550162912	0.130109311049594	0.696953815843231	0.0228196323048166	0.0735468959284186	0.0253447556237236	0.0524051297635823	0.0383070352017519	0.031993394497597	0.0631068315006312	0.316740424253623	0.0364699360938013	0.159417292900303	0.0449590984450788	0.0336343642662755	0.0488903223621367	0.041363347347618	0.600850377692302	0.049452285855328	0.0811307610267294	0.059528349146104	0.061314122512634	0.786820818223547	0.0393322285479102	0.0344839690655594	0.069641601741816	0.0375043523074545	0.20204762995037	0.584893773728088
