"sampleID"	"MTOR"	"RPS6KA1"	"YBX1"	"JUN"	"RBM15"	"SHC1"	"AKT3"	"FN1"	"XRCC5"	"RAF1"	"CTNNB1"	"GSK3B"	"CCNB1"	"RAD50"	"BAK1"	"MAPK14"	"EGFR"	"SERPINE1"	"CAV1"	"EIF4EBP1"	"CCNE2"	"RPS6"	"GATA3"	"MAPK8"	"PTEN"	"CASP7"	"BAD"	"MRE11A"	"PGR"	"BIRC2"	"ATM"	"CHEK1"	"FOXM1"	"GAPDH"	"CDKN1B"	"ERBB3"	"BRCA2"	"RB1"	"AKT1"	"RAD51"	"RAB11A"	"MAP2K1"	"TSC2"	"MYH11"	"MAPK3"	"CDH1"	"CLDN7"	"TP53"	"ERBB2"	"RPS6KB1"	"CDH2"	"BCL2"	"RAB11B"	"AKT2"	"GSK3A"	"XRCC1"	"AKT1S1"	"PCNA"	"BCL2L1"	"COL6A1"	"BID"	"ARAF"	"AR"
"TCGA-FI-A2EY"	0.95151499279837	0.706985978217284	0.040083175057657	0.0733352125000512	0.0951901823623326	0.0472939288464616	0.735753525944981	0.0603796285421117	0.0481946045526733	0.021359818729118	0.0633344345180603	0.0366310674258538	0.958840958784977	0.030357396176681	0.0724744463566856	0.0509463718938531	0.125861686780667	0.031523649912391	0.105722306476244	0.0403096000544416	0.0613785930007505	0.0400048371711039	0.0414536060052083	0.731620385487571	0.0109027265502627	0.0396550529889381	0.0800990160556676	0.0502999916747841	0.0361312153035785	0.0513333843269187	0.0127248983417659	0.0443455000449291	0.0606037463416105	0.0803073155071221	0.0794160393757544	0.10748702497894	0.245451248294807	0.0293223425770266	0.134513048051112	0.0321497898267192	0.0250222338838345	0.0362922073940653	0.0522937584216917	0.0188006970220192	0.0329606209501835	0.139910317498187	0.0364073601036357	0.0221125619170339	0.112775442380058	0.04301239277149	0.0637676119160092	0.0424105939077793	0.0635622129263557	0.0567563489791905	0.0277324102075779	0.0645409585768494	0.508383585691713	0.0266001882273574	0.0555452407786845	0.0840996823865246	0.0532214609058233	0.119078726044987	0.717863825273027
"TCGA-DF-A2KS"	0.936824811068498	0.647356537217846	0.0279289997752725	0.0809817228640472	0.0763358459925997	0.0463839465050723	0.33065545393779	0.0983199138462113	0.0451238171111004	0.0276066820932544	0.064296504579014	0.0545155505533153	0.972699052041966	0.0288070384469223	0.213994191253599	0.0567609257423954	0.168968807358708	0.0336416029391104	0.0403432175190622	0.0436812451186776	0.0551629856406765	0.0412591492039164	0.0747560105583206	0.321228762050227	0.0114475640217645	0.0579661716119427	0.0802197774466716	0.052135211623445	0.121834809360408	0.048874464973114	0.0147390500389307	0.0526873800289472	0.0552207884462834	0.0369594677346139	0.0763370755578471	0.24243072947975	0.916778101708336	0.0308945225140676	0.108824258976808	0.0364580931292544	0.0350633937184258	0.0346380001850521	0.0634662553934816	0.0213016056068542	0.0310590352150702	0.27126514319851	0.0418405500676551	0.0367105494461772	0.0726130276609638	0.0501824727263696	0.0796811173969463	0.104189595020604	0.0604853774749479	0.0531970028030532	0.0421805977685483	0.041170402219607	0.442145054957657	0.0276444648266004	0.0375545882875256	0.0322121067120465	0.030458048138938	0.132464321789292	0.353786390770355
"TCGA-A5-A1OH"	0.938785217909182	0.828527233697193	0.0282878610734724	0.0771535250943473	0.0526711884975886	0.0396975510991881	0.721892729730801	0.0660659532443937	0.037965011114957	0.0220887748998194	0.0677747043887378	0.0328934315658697	0.954900729726579	0.0249579246268721	0.145445226238342	0.0523840659264877	0.061550965647623	0.020544129807097	0.0856225323522889	0.0336206662224159	0.0450119492580302	0.289919969970761	0.0335215014528869	0.871264862242612	0.0127069156331584	0.0473237759214866	0.0938318619768715	0.0470924802418076	0.050436560403302	0.0310616350141211	0.0165015996578323	0.061306811982722	0.0661707498491901	0.0334060760756486	0.0895935062727129	0.137661448704536	0.743297090446217	0.0281795580573936	0.157161005621932	0.028219660703568	0.0324881282562694	0.0356186201691312	0.0496853496302266	0.021332160024905	0.0431656557320866	0.302274090957214	0.0860662077500093	0.0358537333100245	0.0723120407005327	0.0289509333353721	0.0633401204895884	0.0523611243698224	0.0596340142475915	0.0593495046106786	0.0266780018709572	0.0352033711463275	0.465077896199274	0.0317236252673621	0.0624684560497303	0.0478008763159573	0.0404049955209561	0.0974633969096838	0.147610255703645
"TCGA-AX-A2H7"	0.965169257471631	0.800125373273717	0.0483169901735704	0.0788723907436096	0.058352034969821	0.0578419871086073	0.812030452198837	0.0650942100466737	0.0378435512665482	0.0303200791157475	0.0615015523579356	0.0395199476370544	0.974738734781107	0.0260311020095332	0.627051724272127	0.054672161574431	0.0456852161187468	0.0349062880139046	0.0443682203608875	0.0345669041973205	0.0400001271949916	0.0346001955963766	0.0310083720286074	0.881327489925073	0.0101287446914699	0.0687213491068589	0.0745718871104593	0.0435121651306119	0.0596495397639016	0.0330175464128507	0.0138147141485021	0.0256097246748267	0.0654440291561727	0.0486005793403229	0.0877022929088114	0.149089491305918	0.951270749670394	0.0273860291452553	0.118910564635847	0.0281843065078947	0.0357954024862815	0.0310790128792536	0.052380328978718	0.0222358793739135	0.0370754690755564	0.176917098571466	0.0493839277996383	0.0283101848222009	0.0797512189655293	0.0372588772080955	0.0491241953634426	0.0515108886802124	0.0626393909405498	0.0762593913619187	0.0268022734065156	0.034199953686928	0.813407476205165	0.0410093329763853	0.105544062354094	0.0424491504647406	0.0430445613287548	0.267811081903014	0.359464187776762
"TCGA-AX-A2HA"	0.970008310658896	0.830885330764822	0.0342619379697499	0.0825653128643044	0.0538386173728762	0.0567966367663487	0.776480205531812	0.167891013109879	0.0434790903291812	0.0240105712281748	0.0517491030445867	0.0407148448935558	0.974167405321883	0.0182011266399111	0.81298416019081	0.0593977726242781	0.060456588128546	0.0360025897777781	0.31770769485657	0.0322314262531131	0.0512849493715012	0.0358953209413271	0.0623415680619789	0.851649660524208	0.0110514444613852	0.0550992235924476	0.0691515807041066	0.0456348252145285	0.0542657366990136	0.0595126780041166	0.0119826179087638	0.0387966101181436	0.062272599683639	0.0908407841958288	0.08796057890871	0.142412025797998	0.952136323649028	0.0360728192986102	0.120841131068887	0.0280230185534281	0.0287140762338479	0.0331897046783436	0.0490746586368934	0.0256540832361592	0.0305224407544631	0.145742696580728	0.0416363921813881	0.0301895368833945	0.0750714536897085	0.0453133123966104	0.0608951919792464	0.0496810156863906	0.0551957480137694	0.0608682290871464	0.0276468915348881	0.0539848103339204	0.80197957694643	0.028516524277109	0.0564397073592319	0.0343845283765215	0.0695620045959158	0.196578000114346	0.555847097135666
"TCGA-A5-A2K4"	0.9473829283814	0.65563807278361	0.0291483751267864	0.0871475540776066	0.0710573139567208	0.0556475403701626	0.962137386356183	0.0716260796394684	0.0442754989056999	0.0268071809039473	0.057062298857875	0.0379285314503628	0.975699713608626	0.0331083535456879	0.219400562489266	0.0549466121920556	0.167552749444902	0.0900601102017109	0.0744497497470133	0.0365684696891542	0.0458609651034164	0.0313894418097363	0.203392850087034	0.686075247848903	0.0102900088281917	0.0465138638485677	0.0765507759394849	0.043242698954408	0.0650314014696041	0.0490896903171765	0.0146881522499228	0.0556648922314812	0.0625245439013869	0.0543900020119998	0.0592956285910971	0.254966943117315	0.533209492086481	0.037048643131294	0.111925701955328	0.0262333566315736	0.034805064869971	0.0347290803937141	0.0465021109273247	0.019394704812431	0.0472744414141845	0.320213276955207	0.0529671222608565	0.0311752503332264	0.103014197889359	0.0507074026997931	0.116176862078877	0.0563810235420853	0.0720417775150634	0.0644410964353282	0.0538995647727682	0.0590348389370222	0.692873811371403	0.0438239414005644	0.0508979190457126	0.0622792139600372	0.0444459163358277	0.196260366906944	0.672227323065569
"TCGA-EY-A2OM"	0.968213848691195	0.539752226647368	0.0238666311065046	0.0837556199372451	0.0582330293043546	0.0394299241514838	0.371828722064808	0.0594034960729644	0.0537017206256406	0.0223718351835105	0.048503595258558	0.0357925820234193	0.966427568468467	0.335748642514493	0.151212247644096	0.0608227133701189	0.0660243927745228	0.0344154991889751	0.0392167244700249	0.0382673600576605	0.0455614642546058	0.0869661259686784	0.0345330584198961	0.873964085475043	0.010589517723018	0.0559890271883154	0.0674855690370625	0.0494116078852996	0.0494002825955167	0.0405711582873973	0.0123477547708703	0.0312753643894251	0.063899492524058	0.0601826762457456	0.0818475618696333	0.197505634248167	0.889684518688422	0.0276062919829411	0.0913719374905701	0.0233880313329832	0.0337122198773228	0.039165772926326	0.0422433817253551	0.0179680644235806	0.0641329615951481	0.184599537547861	0.0511163817250264	0.0389479880510235	0.0847161052703561	0.0313027126223396	0.0501186147093208	0.0428458948967709	0.0676158945384407	0.0657184954227559	0.0393305090228713	0.0434353675407246	0.677657991916237	0.037002879019665	0.0573505497536297	0.0458093013590211	0.0461759742880622	0.30944847306706	0.350789295142021
"TCGA-EY-A2ON"	0.955949058623318	0.453636028646712	0.0339104409582606	0.0921866537259095	0.0586508441277166	0.0551595452648462	0.594713563954365	0.167365805839549	0.0472046085882777	0.0237063013377199	0.0539844651266216	0.0316296208341285	0.966646357880251	0.0277029222070478	0.143326327695826	0.0690387322096669	0.225827424796638	0.0710952746981041	0.0682641788760133	0.0409139383308839	0.0588095555916942	0.040452977849047	0.371253113356935	0.800659508796544	0.0124015749413576	0.0362185554978207	0.131160263173405	0.0503756784599165	0.0595959619271098	0.0649560741769329	0.0161499501086898	0.12932880529108	0.0692516868492583	0.0666257431845199	0.0735517818517397	0.164393528829705	0.335460930720797	0.0326307212531443	0.127740317454232	0.0306133991721453	0.0440007155461874	0.0320819693391694	0.0547742779378006	0.196238546153607	0.100668712920931	0.199798914092212	0.0391179271625921	0.0412996784901249	0.0923142064618406	0.0471740926603031	0.143653817097568	0.13773940136965	0.055895877607054	0.0829581560200485	0.059975766936717	0.0429686706925615	0.754041136912452	0.0385658276499748	0.206644415699169	0.166093428701845	0.0579026963364455	0.270630041873503	0.436006511626654
"TCGA-E6-A2P8"	0.952555828751556	0.765957129943157	0.0293580377429757	0.0690255952562244	0.0502720886686345	0.0411091294409826	0.782254103529127	0.0706838847224285	0.0348845266077073	0.0186916431755293	0.0564325572784187	0.0265102594205808	0.973766668476667	0.0264728085429986	0.20194553679796	0.0518104817746494	0.140830947244667	0.372942469734518	0.0532104623640944	0.0298736378067196	0.052283927872348	0.0495180044240133	0.066604088364209	0.867469300673855	0.0107069649370536	0.0595280366704018	0.119689042758676	0.0370708935700077	0.0627509171488851	0.0361449434799943	0.0137729377726373	0.0333702714606856	0.0544645631859994	0.0417171004538332	0.0661277430510541	0.307672528386795	0.863620628844946	0.0204841348999739	0.0842482193502027	0.0315253267660479	0.035420139312145	0.0243898228923873	0.0481026022660627	0.015164789810912	0.0452740294687308	0.268422812992683	0.0583054146976896	0.0339351961755782	0.059011640594212	0.0302448281649592	0.0632014892623815	0.233795055850627	0.0687713390038836	0.0586867845496909	0.0383512546635684	0.0386713467785093	0.663994743363401	0.0304345118082269	0.0596854432256293	0.0208465107465932	0.0588344702414465	0.328706795433039	0.613454175718584
"TCGA-E6-A2P9"	0.967887393948524	0.847364458246511	0.0307030408439036	0.0878930037291165	0.0744077149587204	0.0670526551969006	0.926955669040464	0.0585258275887889	0.0380368869617068	0.027188771843698	0.0588306958324862	0.031104993254252	0.979649883977003	0.029031610866351	0.741725132277498	0.0647212583257506	0.0679067634291665	0.0358013109771849	0.0486017309845391	0.0274475057132435	0.0563456765704786	0.0388234941282461	0.0294681552639477	0.428695467986086	0.00945436390808296	0.0448264955085658	0.0731354978855171	0.0593558742631234	0.0666755084643244	0.0489611624063523	0.0117421012693015	0.0393696407393352	0.0589088660987506	0.0631582491668716	0.0874184921889212	0.212490091493932	0.939741037882445	0.0300010983988688	0.108489523133592	0.0270402754149772	0.0417227314713826	0.0310290816903685	0.0516878191947273	0.0317967566509186	0.0460118626440766	0.200936396423201	0.0526611862304554	0.0460126007558357	0.0750263122289147	0.0446930198761495	0.0581346187043026	0.0496761610431293	0.0641174346104397	0.0700843358998732	0.0541605599252312	0.0519723856944288	0.608973603256731	0.0413553468057045	0.0550546778958563	0.046590529245942	0.0383202453179943	0.391048617028519	0.50048726194998
