"sampleID"	"MTOR"	"RPS6KA1"	"YBX1"	"JUN"	"RBM15"	"SHC1"	"AKT3"	"FN1"	"XRCC5"	"RAF1"	"CTNNB1"	"GSK3B"	"CCNB1"	"RAD50"	"BAK1"	"MAPK14"	"ESR1"	"EGFR"	"SERPINE1"	"CAV1"	"EIF4EBP1"	"CCNE2"	"RPS6"	"GATA3"	"MAPK8"	"PTEN"	"CASP7"	"BAD"	"MRE11A"	"PGR"	"BIRC2"	"ATM"	"CHEK1"	"FOXM1"	"GAPDH"	"CDKN1B"	"ERBB3"	"BRCA2"	"RB1"	"AKT1"	"RAD51"	"RAB11A"	"MAP2K1"	"TSC2"	"MYH11"	"MAPK3"	"CDH1"	"CLDN7"	"TP53"	"ERBB2"	"RPS6KB1"	"CDH2"	"RAB11B"	"AKT2"	"GSK3A"	"XRCC1"	"AKT1S1"	"PCNA"	"BCL2L1"	"COL6A1"	"BID"	"ARAF"	"AR"
"TCGA-AG-3583"	0.951320772186214	0.540452041373117	0.0202994784151335	0.0488254505960436	0.0331111552012516	0.0240899836478712	0.929767781943308	0.0531541365750396	0.019516285814172	0.0150336543140008	0.0312394160685716	0.0225347709029663	0.975556196769747	0.021245654627371	0.10676472845237	0.0315629461124978	0.873297388163407	0.225374166380934	0.143815508955436	0.0410098754892835	0.0225519841900166	0.0503908706247906	0.0300547358415008	0.0393661867678513	0.932023929958456	0.0102980197258083	0.0264730594937291	0.0215732552742597	0.0218675137709304	0.0491526449329999	0.0293107058629579	0.0118229886672639	0.0221626921024009	0.0435786536209066	0.0342894425458749	0.0512996781767612	0.182401705775177	0.930986769752053	0.019652696352715	0.0852626050967597	0.0255394065029348	0.0316115679431372	0.0198346855411413	0.0297860899301481	0.159957934129767	0.0286518831677395	0.183005412345028	0.0253577898813989	0.019890532722905	0.0319860490958951	0.0288597765314901	0.551468455601148	0.0531396209578659	0.0596228388142266	0.0264606095929935	0.0279196708374095	0.809308304389152	0.0369220889781237	0.0349761731345537	0.0361415661505259	0.0296105258097699	0.0368131102768991	0.167895611810765
"TCGA-AG-3593"	0.919606057490007	0.448949449884375	0.0275250940153892	0.0493313029940195	0.0312060172339623	0.0365098537125025	0.959035293331661	0.0661439608938228	0.0805057547469553	0.015318321514055	0.0318024725749236	0.0165342641000948	0.958241647497003	0.0260666260543878	0.106782664855817	0.0350622559776217	0.613204319687172	0.0939048813243762	0.0485451739636304	0.0365168574258071	0.0241822925755983	0.0400754454210717	0.0268995500594689	0.0300829044763262	0.898180210092857	0.00928154705840557	0.0232805573268025	0.00840284672620173	0.038799896958235	0.0407607769348829	0.0375181780448112	0.0225128971832455	0.0347501008534897	0.0477764367091425	0.0357735287640973	0.0395972667553141	0.230916104831257	0.910426125478657	0.0163100398948352	0.0458653435424607	0.0235622840921182	0.0437257056736125	0.0173748506182101	0.0346365193907381	0.0379585407675288	0.0267840194568575	0.152139370059265	0.0222382355647591	0.0327097428829885	0.0390319538758154	0.0260446257802851	-0.067068976102638	0.030212543108357	0.0741298138415817	0.026479995061626	0.041633996710196	0.702385335845701	0.033234896267244	0.0294167675034164	0.0694544564855591	0.0290575482685633	0.133935355661021	0.258246663986423
"TCGA-AG-3584"	0.947095186056342	0.777181352084623	0.0319695729467626	0.0465985982076993	0.0381467951349211	0.0359587761049461	0.939493715952991	0.0688744183592063	0.0370549609354998	0.0333976225823358	0.0437176279609955	0.0254269345668244	0.97042445037804	0.0197134259237674	0.553311686950274	0.029285481322116	0.780553934871252	0.606288616574726	0.572499709893729	0.0342508804335935	0.0236425094987369	0.0328125766504702	0.0344075072971237	0.170272765387558	0.927612134993314	0.0154775485555876	0.0277450565501697	0.0685460246162942	0.0477788814766471	0.0597085899177856	0.0420833558836427	0.0177883100831376	0.0323526019832034	0.0493959122334179	0.0440953715728946	0.0576993131421712	0.168975317850432	0.943781993093815	0.0250081986684543	0.094126780869741	0.0393535969824846	0.0467915681050766	0.0258838291253632	0.0368649520943197	0.461238548570815	0.0879591105249906	0.248178916311689	0.033478234860752	0.029757116327154	0.0602059084763394	0.0329298194634201	0.590911151457812	0.0583090397683986	0.102939197255416	0.0284115363497941	0.0416698843005905	0.903282562923369	0.0407667243579327	0.0490234593308671	0.111104236608767	0.039219708273467	0.0372511333406344	0.848390793708579
"TCGA-AG-3598"	0.956962398089063	0.730470386846048	0.0214067791194382	0.0443990451931212	0.0407196465108778	0.0257011917940023	0.960931626688324	0.0590926632805613	0.0394527935368835	0.0163254462554759	0.0384145676267941	0.0207004870623445	0.97836884781122	0.0241466470819918	0.142366428015493	0.0319248318778599	0.886640108973561	0.148141549123462	0.0592000605802836	0.0357855857316823	0.0245467460501378	0.0345281354320158	0.0201231405379396	0.0210389472327148	0.92694951897458	0.00989690557880432	0.0234510001899259	0.0501087352508803	0.0286351613017091	0.0466431224635614	0.0334890688970956	0.0131561028854165	0.0288060692597305	0.0431882833412374	0.0345268514818763	0.0512629815481216	0.167643928795264	0.911680638193379	0.0256329325081581	0.0595061361404659	0.0211376405892186	0.0260775604711369	0.0184238407808359	0.0357296580064736	0.249731822599066	0.0285861106030163	0.127028656431579	0.0272040017467415	0.0267853292594369	0.0357059302408161	0.0253743201143758	0.572842477527557	0.0414779511618348	0.0782151447790926	0.0227149802128851	0.0403926451142118	0.839035134467757	0.0330006386148408	0.0343501717623134	0.0455300249576149	0.0285302083215436	0.0392796162109521	0.793533905587331
"TCGA-AG-3586"	0.951742152221908	0.498869966019248	0.0209846046240803	0.0529332154662088	0.0317821639775451	0.0237661764581957	0.866091941768527	0.0617874647610167	0.0328658546372941	0.017509907437535	0.0344233293029096	0.0205782754335577	0.971859120060041	0.020711547213734	0.136457689306267	0.0405930458550567	0.893676181567917	0.17758601567288	0.0575032144589528	0.0359692356423557	0.0277041777670105	0.0382965488200919	0.0235767848489806	0.601627656172918	0.910681809674023	0.0134318422435718	0.0251433935957862	0.0838520087352674	0.0316621657870826	0.0557255760871195	0.0253242895110684	0.0133991950622843	0.0349759767923945	0.0397622901510148	0.0322558830271806	0.061903504886311	0.162448162398418	0.932537668450234	0.0212987029990793	0.102064423586879	0.0177572106119196	0.0257282884259525	0.018339039658108	0.0359083525711968	0.271161211270813	0.0379721467067107	0.209712973978263	0.0261586456171365	0.0188361204253945	0.0547864858578501	0.0301916646209892	0.608595418018351	0.0644310281900276	0.0952556384151998	0.0251199962619293	0.0427583696424316	0.620079936353245	0.026924218905924	0.0499076985847223	0.0484047998502452	0.0318660731246122	0.289667347678051	0.297606058226517
"TCGA-AG-3600"	0.956551802261449	0.759386838635754	0.020986998291133	0.0563924077481881	0.0378673294570572	0.0255667491513628	0.915671364594731	0.0569577515055159	0.0310323682985358	0.0155909987032283	0.0357678820529857	0.0221619457392056	0.970049366504082	0.0271813053887459	0.118143193047233	0.0386094113989038	0.843080332996331	0.512367296701979	0.0467766328927171	0.0494584803105575	0.02473433681876	0.0358023214740902	0.0358872934318316	0.776007674782281	0.905125373905	0.0107166757535521	0.0264585184426407	0.0551882171116011	0.0280288178275899	0.344371054216815	0.0381275394931804	0.0169390898203382	0.0801910839316135	0.0474800886358012	0.032288853882985	0.0596132248763332	0.18746190872699	0.923938133591169	0.0268895150165536	0.066064620098009	0.026557125350008	0.0432699879640238	0.0209722947089047	0.0310269119501811	0.700767589391203	0.0381616171920504	0.206478444937494	0.0274366571256928	0.0221932844158452	0.0441287957787686	0.0285940743714371	0.629169917280663	0.0580048697643177	0.0669908296867745	0.0283353237817666	0.0334885158673957	0.902970975580445	0.0416244586060931	0.0474557654425055	0.0668185892237632	0.0360182290876373	0.0353938396452008	0.874258480804115
"TCGA-AG-3574"	0.944266376507093	0.751591650669978	0.0233769327782502	0.0625108984163089	0.0348115123972731	0.0282275706267382	0.943873311486274	0.0526161882187839	0.0294975795241046	0.0219585859545352	0.0346611026000303	0.0255811654178197	0.972369448824779	0.0226819933631157	0.104780065464337	0.0327599629008224	0.918999183631389	0.474900705551513	0.13242225172183	0.0390126258895067	0.0240707461934046	0.0383167443019664	0.032095658843363	0.572966976763888	0.935147532924197	0.00944563561565637	0.0281014538860514	0.0814899489239534	0.0328827438527062	0.274532752660819	0.0351282570332114	0.0143088590503768	0.0632712743834365	0.0555271430375057	0.0422632330778631	0.061986080383775	0.166999945936411	0.938852401944843	0.0264843441213884	0.101816713745858	0.03120143406922	0.0306748452638577	0.0255351494762035	0.0352163963178084	0.0454386580426173	0.034747627318397	0.233492588754548	0.0276414061860866	0.0222821805884128	0.0837338152702818	0.0350441360597798	0.612127802695246	0.0575402924316148	0.0811431702907952	0.0267176902689706	0.0344700282495773	0.870166090595208	0.0487770280843095	0.0294379700653304	0.0632171894751454	0.0311631204970342	0.28007016772776	0.38223657344186
"TCGA-AG-3594"	0.941939679301918	0.715245098658508	0.0208986540907998	0.0552466924974665	0.0390635403973762	0.0247570565621813	0.92657861056802	0.0570009950693942	0.028716721209885	0.019409719915063	0.0325210501831209	0.0260305726715402	0.972706373185932	0.0235748898071199	0.21270885976719	0.037292094753899	0.794106162330353	0.319694826547426	0.0734464570244107	0.0308247322141432	0.0187049140957896	0.0360144449825597	0.0192647723609038	0.0447907506268962	0.92337247610988	0.00956024538246793	0.0306408400504055	0.0858863876951431	0.0406863376952128	0.0635037809379253	0.0296867848257078	0.0159009150123466	0.027235956758302	0.0496532001143059	0.0338430859152379	0.050627447000555	0.342554594827997	0.742836846332557	0.0268084274683705	0.0929324086496078	0.024811143651196	0.0231229371088956	0.0204604318480368	0.037760567245177	0.442362361338998	0.0352807820145454	0.318472511199339	0.0325032496806388	0.0179202896805558	0.0639544533630665	0.0278763287359658	0.349322937412173	0.0557263489040538	0.0634403160860814	0.0339015267839942	0.0332227821397705	0.889084383620373	0.0303958452323627	0.0438937398585454	0.0533393917790772	0.0298645141882466	0.038725991354641	0.88841336195252
"TCGA-AG-3601"	0.952570357433371	0.554022635118879	0.0254385598901068	0.0466426621744524	0.0381349964884071	0.0285183061980415	0.74210504848947	0.0623163748029389	0.0668296958334791	0.0184309477338747	0.0290749353986912	0.0251468791021523	0.977137838999337	0.0236935235250845	0.112248067362329	0.0385273705739143	0.901896415086432	0.38318213468831	0.0452557811218065	0.0377956620625845	0.0295440693560478	0.0340351714953394	0.0313679974681709	0.073265137346852	0.791173639536391	0.00871869404032155	0.0298750532030562	0.0367479333829859	0.042382886957097	0.0467533585588235	0.0339161257909762	0.0123392894815248	0.036276826051466	0.0441267029311976	0.0383734839873473	0.0467504533843316	0.135119551572554	0.904069793400581	0.0236415756854391	0.0741975170038865	0.0314885973997799	0.0314779845698491	0.0237633233452031	0.0336330760154127	0.237644893447565	0.0276612376826606	0.170596305794698	0.0266817989894276	0.0234331563061364	0.0424833005513806	0.0259902850607573	-0.100797245918425	0.0442211650654463	0.0679654529970891	0.0258308186262261	0.0301318730408131	0.64800154344145	0.0358332231220402	0.0286257346953952	0.0559293188474008	0.0316390217192996	0.0339183271183255	0.128668684088029
"TCGA-AG-3725"	0.933061986096109	0.317361038933475	0.0205941907712145	0.0408154462240954	0.0325231620592181	0.0263410289854236	0.792355384939361	0.0819776610122402	0.0221716596522628	0.0163280493212318	0.0307823757263207	0.0214385024627336	0.962655720875742	0.0213928035522207	0.0611752207386714	0.0309136247591472	0.913965127503153	0.0579241053022321	0.0149033181654412	0.0150332649707181	0.0206061491336203	0.0381309628222614	0.023044847092728	0.0244064027515253	0.916056407200235	0.00885072567745164	0.00978540212983926	0.0460015819887059	0.0262605237153121	0.035559574204919	0.0313182473977087	0.0118276514379198	0.0306741278380819	0.0369214661705169	0.0371977677014839	0.0435932372239075	0.107267207502346	0.903432208187505	0.0226982014223164	0.0608643505134489	0.0298161063990111	0.0237774001098248	0.0118656646862448	0.0376038953780786	0.686244583904205	0.0181129386130943	0.174317662356109	0.0143638457230143	0.0212284793958388	0.0276190533594275	0.0363201676024471	0.43687436116392	0.0472925883374281	0.059835598599415	0.025343063705356	0.0385554252650732	0.697918670606448	0.0246043992989854	0.0289769129837902	0.0429277350547769	0.0437975744939356	0.227635208757692	0.319537532238461
