"sampleID"	"BAK"	"BAX"	"BID"	"BIM"	"CASPASE7CLEAVEDD198"	"BADPS112"	"BCL2"	"BCLXL"	"CIAP"	"CDK1"	"CYCLINB1"	"CYCLINE1"	"CYCLINE2"	"P27PT157"	"P27PT198"	"PCNA"	"FOXM1"	"X53BP1"	"ATM"	"CHK1PS345"	"CHK2PT68"	"KU80"	"MRE11"	"P53"	"RAD50"	"RAD51"	"XRCC1"	"FIBRONECTIN"	"NCADHERIN"	"COLLAGENVI"	"CLAUDIN7"	"ECADHERIN"	"BETACATENIN"	"PAI1"	"ERALPHA"	"ERALPHAPS118"	"PR"	"AR"	"INPP4B"	"GATA3"	"AKTPS473"	"AKTPT308"	"GSK3ALPHABETAPS21S9"	"GSK3PS9"	"PRAS40PT246"	"TUBERINPT1462"	"PTEN"	"ARAFPS299"	"CJUNPS73"	"CRAFPS338"	"JNKPT183Y185"	"MAPKPT202Y204"	"MEK1PS217S221"	"P38PT180Y182"	"P90RSKPT359S363"	"YB1PS102"	"EGFRPY1068"	"EGFRPY1173"	"HER2PY1248"	"HER3PY1298"	"SHCPY317"	"SRCPY416"	"SRCPY527"	"X4EBP1PS65"	"X4EBP1PT37T46"	"X4EBP1PT70"	"P70S6KPT389"	"MTORPS2448"	"S6PS235S236"	"S6PS240S244"	"RBPS807S811"	"CAVEOLIN1"	"MYH11"	"RAB11"	"GAPDH"	"RBM15"
"TCGA-AA-A00L"	0.098052	-0.25501	0.20592	-0.48639	0.77952	-0.35527	-0.37802	0.87418	-0.026578	-0.14345	-0.69328	-0.5531	-0.55983	-0.041604	-0.26824	-0.30939	-0.37343	-1.098	-0.69019	-0.077293	0.036259	-0.80214	0.18654	0.13408	-0.77497	-0.18606	-0.18404	-0.90405	0.036522	0.16898	3.0701	1.7107	1.7614	-0.60063	-1.7161	-0.48411	-0.14007	-0.66619	0.67619	-0.16573	0.2377	-0.15364	0.3994	-0.26065	-0.25511	0.021496	0.28157	0.14781	0.066819	0.18137	0.021538	0.59153	0.34411	0.36337	0.15093	0.12134	1.7537	0.38748	0.71243	0.16536	0.74147	0.98536	1.3934	0.090194	-0.075494	-0.25456	0.29162	0.12983	-0.37001	-0.68241	-0.23122	1.1676	1.8126	0.13263	-0.58698	-0.58109
"TCGA-AA-A00J"	-0.18639	-0.49678	0.033071	-0.482	1.1243	-0.15095	-0.10086	0.32951	-0.092159	0.12036	-0.41893	-0.78487	-0.52669	-0.047685	-0.16424	-0.29204	-0.3184	-0.60833	0.14699	0.0007724	0.0026047	-0.96295	0.12246	0.023711	-0.56625	-0.2744	-0.42051	-0.26454	0.086247	0.49426	1.8583	0.20449	0.93	-0.080082	-1.0977	-0.55408	-0.1818	-0.54072	0.44628	-0.13215	0.04862	-0.29167	0.20413	-0.25946	-0.19459	-0.20488	0.10142	0.057439	0.033046	0.076613	0.20184	0.38506	0.155	0.18877	-0.014377	0.086033	0.66019	0.32309	0.49261	0.10447	0.15865	0.17602	0.87297	0.49149	0.070603	-0.36298	0.4825	0.12515	-0.18323	-0.45808	-0.12873	3.0559	1.5362	0.16347	-0.60281	-1.2604
"TCGA-A6-2672"	-0.083429	0.31143	0.052461	0.010752	2.3713	-0.031594	-0.24673	-0.040914	0.1645	0.14421	0.76865	-0.21611	-0.23586	0.3977	0.12496	0.40112	0.49191	-0.067209	-0.95815	0.33513	0.084387	-0.18665	-0.013021	0.082182	-1.3324	0.26499	-0.36362	-0.76276	-0.21573	-0.36187	2.1476	0.76688	0.85031	0.097902	-2.1492	-0.64752	-0.3342	-0.72015	-0.042526	-0.72244	0.92478	0.089658	0.55868	0.34114	0.31577	0.20961	-0.10389	-0.42337	0.36316	-0.22497	-0.32198	-0.48581	0.13279	-0.035158	-0.11481	0.049528	0.27336	-0.43913	0.72019	0.057775	-0.20477	1.0385	0.58379	-0.191	-0.16571	0.042165	-0.13698	-0.055083	-0.28281	-0.064916	1.2499	0.18707	1.3419	-0.073563	0.66383	0.3796
"TCGA-A6-2685"	-0.5837	-0.49509	0.20822	-0.57686	-0.60714	0.064879	-0.062326	1.1559	-0.13843	-0.11119	-1.7865	-0.98223	-0.57328	0.058478	-0.30976	-0.11318	-0.7793	-0.69153	-0.54779	0.095969	-0.27151	-0.53565	0.055502	-0.12861	-0.23601	0.48424	-0.28041	0.026784	0.40267	1.5793	2.1528	0.56975	0.98752	-0.91689	-1.9167	-0.48352	-0.26055	-0.67396	0.49349	-0.56427	0.91254	0.18067	0.3666	0.51633	0.44451	0.46904	-0.21921	-0.24734	-0.25462	-0.28243	0.10286	1.1528	0.1966	0.16526	0.070156	0.012226	0.6656	0.34272	0.37519	0.033061	0.3254	0.49885	0.79885	1.0371	-0.60585	-0.28593	0.79474	0.31302	0.22252	0.60417	-0.81249	2.9148	2.7069	0.72106	0.045921	-0.36233
"TCGA-AA-3529"	-1.1478	-0.35695	-0.38219	-0.79314	-0.92565	0.057144	-0.65144	0.42389	-0.20421	-0.30935	-0.28075	-0.57654	-0.47237	0.09331	-0.48192	-0.086999	-0.28701	-0.32159	0.080665	0.15208	0.21691	0.058936	-0.17336	-0.062706	-0.10251	0.090135	-0.32167	-0.4671	-0.30284	0.62653	2.0565	0.4092	1.6713	-0.69175	-2.2728	-0.56064	-0.32355	-1.0282	0.99887	-0.40872	0.023702	-0.41881	0.62882	0.38751	0.086446	0.14089	0.11513	-0.23019	-0.21988	-0.21873	-0.10716	0.61737	0.19296	0.11603	-0.36977	-0.058885	1.94	0.017899	0.91899	0.029485	0.18447	1.2136	0.86485	0.36769	-0.39917	-0.5528	-0.17662	0.32912	-0.67434	-0.44091	-0.33502	2.0414	2.9887	0.16398	0.0049066	0.46442
"TCGA-AA-3534"	-0.51837	-0.42553	-0.13997	-0.57021	-0.20043	-0.0014824	-0.26819	0.33235	-0.16227	-0.19909	-0.56497	-0.77247	-0.4118	-0.038301	-0.16262	-0.15447	-0.088418	0.2618	0.24278	0.025055	-0.060154	0.14197	-0.040277	0.14832	-0.40379	0.088559	-0.47094	-0.35047	-0.06623	0.39143	2.3816	0.47763	1.1692	-0.3873	-1.8727	-0.51325	-0.26703	-0.63742	0.93403	-0.47253	0.41716	0.18037	0.55673	0.68702	0.15765	0.63188	0.090453	-0.078341	0.078589	-0.020838	-0.0019873	0.62488	0.11008	0.19573	0.06104	0.12592	1.3222	0.11883	0.7571	0.031844	0.27749	1.3082	1.1016	-0.17314	-0.022051	-0.30674	0.10781	0.25889	-0.33	-0.20716	0.20048	1.5121	3.1726	0.11069	-0.64355	0.21378
"TCGA-AA-3560"	-1.027	-0.55448	-0.20349	-0.73247	-0.268	0.3374	-0.55069	0.33742	0.056551	-0.1846	0.20949	-0.7896	-0.64765	0.055173	-0.44391	0.12469	0.23623	-0.27422	-0.26923	0.022514	0.18361	-0.041316	-0.34327	-0.47737	-0.13207	-0.27838	-0.55664	-1.109	-0.17381	-0.2169	2.0881	1.3309	1.7085	-0.86338	-2.3498	-0.58218	-0.30109	-1.1218	0.91041	-0.11606	-0.11532	-0.48913	0.80148	0.57117	0.40083	0.32798	0.47252	0.10836	0.3406	-0.10654	-0.089113	0.41253	0.4573	0.1842	0.083565	0.29318	1.4163	-0.1474	0.87208	-0.14901	0.31569	0.88448	0.86429	-0.1679	0.15714	-0.37557	0.018199	0.21299	0.7029	0.0041978	0.79118	0.32071	2.5323	-0.18432	0.2818	0.79192
"TCGA-AA-3511"	-0.43727	-0.012822	0.027344	-0.33635	0.2354	-0.27263	-1.1391	0.63586	-0.028841	-0.12179	0.65736	-0.64116	-0.17543	-0.019728	-0.27869	0.30456	-0.083024	-0.85131	-0.18068	-0.15126	0.3961	-0.0043571	-0.043283	0.86962	0.19089	0.15464	-0.0022608	-0.41579	0.17297	-0.34978	2.1268	0.45979	1.432	0.98062	-2.0395	-0.57821	-0.23835	-0.88526	0.028503	-0.21475	-0.69117	-1.0817	-0.24209	-0.35067	-0.075641	-0.28097	0.46089	-0.00076092	-0.14799	-0.08116	-0.16865	0.33818	0.33728	-0.21913	-0.097071	-0.034625	1.5324	0.19179	0.47365	-0.022464	0.47312	1.1772	0.92868	-0.50313	-0.36438	-0.17434	0.12435	0.036864	-0.64505	-0.77296	0.34219	0.32421	1.7734	-0.025675	0.54092	0.027297
"TCGA-AA-3678"	-0.58771	0.20916	-0.036758	-0.10131	0.29642	-0.26885	-0.3421	0.52277	0.14498	0.070096	-0.24314	-0.14862	-0.28916	0.20399	-0.22338	0.29241	-0.40697	-0.7352	-1.1986	-0.20717	0.032075	-0.08734	-0.065222	-0.42279	0.48568	0.012394	-0.064148	0.079385	0.093473	0.62237	1.7611	0.9955	1.8732	0.060929	-2.161	-0.66451	-0.30484	-1.0589	1.0518	0.0051278	0.19376	-0.69088	0.22996	0.058495	-0.05394	-0.046394	1.0291	-0.21933	0.070564	-0.12213	-0.069769	0.44197	0.33781	0.43951	-0.49954	0.13882	0.44712	0.032121	0.27343	-0.078688	0.20615	1.3206	1.2345	-0.16259	-0.01862	-0.036653	0.017276	0.020662	-0.39369	-0.29287	0.038475	1.1408	2.2783	0.3076	0.14128	0.14282
"TCGA-AA-3713"	-0.27371	-0.096766	-0.1873	-0.28225	2.1023	0.11569	-0.45399	0.6517	-0.28253	-0.16006	-0.21752	-0.25195	-0.036603	0.18217	0.25263	0.27727	-0.02534	-0.71354	-1.39	-0.07129	-0.16708	-0.22898	-0.20563	-1.0211	-0.5052	0.18847	-0.54163	-1.2562	-0.18008	-0.096844	3.0747	1.3929	2.1076	-0.3088	-2.3265	-0.68318	-0.35186	-1.1221	0.54131	-0.20084	-0.022979	-0.58912	0.25706	0.01487	0.2208	-0.065612	0.48664	-0.40889	-0.11634	-0.20609	-0.072714	0.1965	0.31474	0.51178	-0.088739	0.12563	1.7278	0.092979	1.1613	0.063335	0.17438	1.3412	0.53415	-0.021865	0.51771	-0.18532	-0.045593	0.0079397	0.20758	0.5326	-0.18606	0.2391	2.4286	0.29174	0.13402	0.76023
