"sampleID"	"BAK"	"BAX"	"BID"	"BIM"	"CASPASE7CLEAVEDD198"	"BADPS112"	"BCL2"	"BCLXL"	"CIAP"	"CDK1"	"CYCLINB1"	"CYCLINE1"	"CYCLINE2"	"P27PT157"	"P27PT198"	"PCNA"	"FOXM1"	"X53BP1"	"ATM"	"CHK1PS345"	"CHK2PT68"	"KU80"	"MRE11"	"P53"	"RAD50"	"RAD51"	"XRCC1"	"FIBRONECTIN"	"NCADHERIN"	"COLLAGENVI"	"CLAUDIN7"	"ECADHERIN"	"BETACATENIN"	"PAI1"	"ERALPHA"	"ERALPHAPS118"	"PR"	"AR"	"INPP4B"	"GATA3"	"AKTPS473"	"AKTPT308"	"GSK3ALPHABETAPS21S9"	"GSK3PS9"	"PRAS40PT246"	"TUBERINPT1462"	"PTEN"	"ARAFPS299"	"CJUNPS73"	"CRAFPS338"	"JNKPT183Y185"	"MAPKPT202Y204"	"MEK1PS217S221"	"P38PT180Y182"	"P90RSKPT359S363"	"YB1PS102"	"EGFRPY1068"	"EGFRPY1173"	"HER2PY1248"	"HER3PY1298"	"SHCPY317"	"SRCPY416"	"SRCPY527"	"X4EBP1PS65"	"X4EBP1PT37T46"	"X4EBP1PT70"	"P70S6KPT389"	"MTORPS2448"	"S6PS235S236"	"S6PS240S244"	"RBPS807S811"	"CAVEOLIN1"	"MYH11"	"RAB11"	"GAPDH"	"RBM15"
"TCGA-73-4676"	0.23051	-0.10856	-0.10871	-0.29989	0.21825	0.18693	-0.20071	0.21764	0.027732	0.3704	0.25713	-0.29797	-0.13847	-0.32303	-0.40464	-0.42568	-0.22085	-0.50744	0.079739	0.072194	0.0067088	-0.36566	0.046436	-1.0323	0.15247	-0.036774	-0.010755	0.39981	-0.17276	0.70524	-0.14123	-0.15067	0.67292	0.92464	-1.2492	-0.23255	-0.3729	0.18408	0.28832	0.039193	-0.25216	-0.64761	-0.38287	-0.3469	0.038609	-0.19347	-0.021446	0.096581	0.37717	0.059384	0.27077	0.87568	0.43965	0.86062	-0.0021092	0.0051127	3.1263	1.1983	2.0619	0.24723	0.16743	1.419	0.70121	-0.40305	-0.197	-0.4028	0.12432	0.096336	0.87111	0.80936	-0.45326	4.0561	1.7957	0.41068	-3.4955	-0.54841
"TCGA-44-2661"	-0.064364	-0.059607	0.062058	-0.019107	-0.65665	0.35636	0.027148	0.35221	-0.19342	0.16922	-1.5082	-0.94526	-0.55391	-0.27723	-0.032358	-0.76127	-0.81418	-1.0263	0.0032364	-0.27817	-0.19382	0.38684	0.12049	-0.35839	-0.096403	-0.25804	-0.40545	-0.24621	0.1895	-0.20392	-0.57179	-0.18217	0.24746	-0.36671	-1.468	-0.34376	-0.44296	-0.4827	-0.12509	-0.36091	0.049898	-0.38089	0.17807	-0.045323	0.1005	0.094717	0.097935	0.18545	0.051079	0.062693	0.019497	0.73528	0.23608	0.38729	0.082181	0.016699	1.7052	0.44454	1.0477	0.033636	-0.1299	0.98788	0.72082	-0.24641	0.27281	-0.087104	-0.045217	0.06574	-0.4947	-0.39684	-0.47758	1.8858	3.1146	0.32243	-2.1665	-0.60861
"TCGA-67-3771"	0.43529	-0.062125	0.28331	0.40149	-0.3573	0.21784	-0.48897	0.31189	-0.26618	0.23808	-0.33904	-0.346	-0.081167	-0.045004	0.53299	-0.54427	-0.77356	-0.13793	-0.51049	-0.092115	0.05195	0.12557	0.30735	-0.1405	-0.40874	0.089856	-0.22177	0.37172	0.74963	-0.0066018	0.27134	0.06371	-1.2779	1.0508	-1.4976	-0.27353	-0.45835	-0.54184	1.2152	0.15488	-1.0805	-0.15386	-0.64048	-0.6494	0.10415	-0.20386	-0.633	0.20915	-0.4314	0.041786	-0.1633	-0.42106	-0.010786	-1.1795	0.030448	-0.010561	0.20906	0.57737	0.11048	0.39311	-0.34673	0.10947	-0.71278	0.11123	0.038185	0.117	-0.2221	-0.4045	-1.1756	-0.78697	-0.62976	1.045	0.049649	0.33285	-1.8723	-0.66737
"TCGA-05-4249"	0.64849	0.0073064	-0.054937	-0.29836	-0.54797	0.56411	-0.081564	0.1135	-0.11411	0.031606	-1.7083	-0.73447	-0.30392	-0.020392	-0.16341	-0.56002	-0.903	-0.53507	0.063862	-0.27446	-0.17232	-0.040944	0.13076	-0.81477	-0.37257	-0.16478	-0.2464	-0.14428	0.24365	0.3729	0.089475	1.3463	1.1522	0.21475	-1.2252	-0.15851	-0.40709	-0.40538	-0.27869	-0.55052	0.23827	0.096551	0.41783	0.22329	0.33863	0.26541	0.39179	0.3	0.36721	0.45695	0.16181	1.9214	1.4449	0.96739	1.3569	0.56166	1.365	0.6284	1.6409	0.095557	0.075174	1.4239	1.1058	0.026806	0.39231	-0.015395	0.22322	0.44667	0.6097	0.3189	0.60634	1.0895	2.522	0.25413	-2.5762	-0.25512
"TCGA-38-4629"	0.46362	0.20602	-0.23358	-0.29494	-0.38032	0.034558	-0.527	0.37905	-0.083751	-0.086269	0.12339	0.075804	-0.18021	-0.18928	-0.11142	-0.14585	-0.52829	-0.45765	-0.38864	-0.14715	-0.14014	-0.28235	0.1292	-0.64883	-0.51774	0.11435	-0.10604	0.27392	0.23851	0.14602	-0.34387	0.36688	0.53492	2.1985	-1.7399	-0.4123	-0.43274	-0.54801	1.3501	-0.079707	-0.89901	-0.71864	-0.63032	-0.98023	-0.052814	-0.38237	0.22488	0.74194	-0.1599	0.040102	-0.050177	0.047562	0.3838	0.21941	-0.37444	-0.096478	1.2513	0.73766	0.96238	0.16028	-0.3025	1.1743	0.18982	-0.03994	-0.34375	0.2546	-0.41197	-0.15865	-0.64756	-0.46676	-0.67246	0.75579	1.8082	0.20854	-0.7773	-0.69379
"TCGA-49-4501"	0.38584	0.53604	-0.11306	-0.026386	-0.72772	0.38004	0.31973	0.67812	-0.18209	0.08981	-1.2291	0.0096637	-0.22264	-0.20039	-0.16936	-0.57392	-0.79944	-0.62398	-0.093182	-0.15243	-0.21621	0.011031	0.058962	-0.8759	-0.27081	-0.13763	-0.29216	0.042093	-0.021385	0.29114	0.035806	0.86426	0.69954	0.41098	-1.6503	-0.31314	-0.39788	-0.4273	0.029845	-0.30582	-0.048944	-0.056973	0.045384	-0.27552	0.051274	-0.038642	0.28826	0.56552	0.30855	-0.0028713	0.30251	1.2074	0.55072	1.0636	0.049788	-0.062606	2.5141	0.82512	1.383	-0.024796	0.12634	1.1302	0.4631	-0.23736	-0.31464	-0.19509	-0.40947	0.21951	-0.38905	-0.20579	-0.6799	2.7629	3.4964	0.28833	-2.6395	-0.70735
"TCGA-05-4397"	-0.16021	-0.054093	-0.13943	0.26665	0.77041	0.20843	-0.24645	-0.0060764	-0.0073449	0.53116	1.1311	0.298	0.46588	-0.35449	-0.13833	0.12179	1.3369	-0.58061	-0.011779	0.40033	0.059141	0.16913	-0.015756	-0.71045	-0.28204	0.11494	-0.13515	-0.55007	0.050915	-0.5513	0.51914	0.40537	0.38368	0.87706	-1.7626	-0.49224	-0.44063	-0.68317	1.6283	-0.58504	1.7292	1.2206	0.67336	1.1183	0.32857	0.75841	0.095901	-0.15088	-0.15849	0.018463	-0.065321	-0.19915	-0.28415	0.48352	0.33509	0.25339	1.0907	-0.11425	1.3229	0.07852	-0.26709	1.6129	0.28158	0.224	1.0151	0.35056	-0.47174	-0.071345	0.34609	1.0054	0.35153	-0.34215	-0.53937	-0.33179	-2.616	-0.079423
"TCGA-05-4422"	0.40192	-0.26387	0.063563	-0.26776	-0.17927	0.42195	-0.46369	0.038367	0.8198	0.28222	-0.41418	-0.42995	-0.21424	-0.074017	0.033108	-0.4681	-0.27048	-0.15407	0.26439	0.059936	0.25091	0.42581	0.0032504	-0.6756	1.1533	-0.32111	-0.12033	-0.66289	-0.023225	-0.30842	3.0689	1.6965	-0.54106	-0.88419	-0.71434	0.048498	-0.30609	0.16595	0.11702	-0.3956	-0.40885	-0.16719	0.62927	0.0727	0.096026	0.5102	0.70291	0.19124	-0.17786	0.049837	-0.20329	-0.2333	-0.26219	-0.114	0.075	-0.13507	1.0764	0.49712	1.3328	0.23759	0.076166	1.4489	0.75075	-0.024345	0.48575	-0.016276	-0.040241	-0.024134	-0.66546	-0.42244	-0.49682	0.12051	1.2264	0.06543	-2.8956	-0.097432
"TCGA-50-5051"	0.052134	0.39974	-0.12745	-0.38992	0.013475	0.31907	0.19403	-0.031288	0.18673	0.17224	0.61323	-0.81571	-0.24017	-0.19108	-0.14373	-0.3009	-0.42587	-0.42228	-0.2576	-0.13261	0.1149	-0.14518	0.076509	-0.89777	-0.088787	-0.1713	-0.026778	-0.049449	0.094891	-0.17444	1.2951	1.0421	0.73301	0.36159	-1.6861	-0.41418	-0.38449	0.48081	0.74153	-0.22148	-0.24305	-0.60297	0.019912	0.059033	0.020251	0.011415	0.3061	0.26952	0.19128	0.21889	0.18437	1.5887	1.4729	0.80233	0.13426	0.49779	1.0138	0.59352	1.4273	0.20804	0.097808	1.5978	0.099468	-0.042304	0.61556	0.27473	-0.078632	0.18045	1.1167	0.81794	0.15727	1.3207	1.7622	0.16362	-2.6477	-0.35639
"TCGA-05-5429"	0.70161	0.71668	-0.040775	-0.58454	-0.51183	0.19266	-0.27795	0.71431	0.30115	0.20394	-0.48234	-0.52224	-0.1559	-0.18947	-0.21747	-0.33757	-0.52176	-0.36228	-0.31379	0.049294	-0.17071	0.078776	0.031398	-1.3001	-0.16832	-0.10338	-0.18401	0.015845	-0.24574	-0.083417	2.2765	2.0509	1.7091	0.47177	-1.7666	-0.29056	-0.44357	-0.48789	2.6767	0.05178	-0.26194	-0.66863	0.23673	0.15029	-0.044665	-0.16395	0.38434	-0.097009	0.18753	0.078146	-0.040315	0.26671	0.08599	0.68915	0.09412	0.11607	2.0442	0.8981	1.6052	0.17736	0.45485	1.2763	1.8414	-0.14636	-0.41368	-0.27409	-0.45235	0.053014	-0.64931	-0.13502	0.083873	1.687	2.8742	0.37683	-2.1104	-0.11458
